date,day_of_week,month,quarter,year,week_of_year,revenue,transactions,units,trend,seasonal_component,residual,seasonal_index
2010-02-07,Sunday,2,1,2010,5,0.0,0.0,0.0,1003.2457416267941,-857.0319325292242,-146.21380909757,0.1457407722064983
2010-02-08,Monday,2,1,2010,6,0.0,0.0,0.0,998.4683809523809,182.6865393173526,-1181.1549202697336,1.1829667747145869
2010-02-09,Tuesday,2,1,2010,6,0.0,0.0,0.0,993.7363033175354,202.3108414386141,-1196.0471447561495,1.203586042658611
2010-02-10,Wednesday,2,1,2010,6,0.0,0.0,0.0,989.0488679245283,81.755633445137,-1070.8045013696653,1.0826608634785633
2010-02-11,Thursday,2,1,2010,6,0.0,0.0,0.0,1166.741924882629,151.10040969603457,-1317.8423345786637,1.1295062828150577
2010-02-12,Friday,2,1,2010,6,41252.29,1719.0,28320.0,1161.2898598130841,165.4843006597252,39925.515839527194,1.1425004267981473
2010-02-13,Saturday,2,1,2010,6,0.0,0.0,0.0,1155.888511627907,129.11507049440706,-1285.0035821223141,1.1117020103544126
2010-02-14,Sunday,2,1,2010,6,0.0,0.0,0.0,1150.537175925926,-982.8569994541978,-167.68017647172826,0.1457407722064983
2010-02-15,Monday,2,1,2010,7,0.0,0.0,0.0,1145.2351612903226,209.53998375103004,-1354.7751450413525,1.1829667747145869
2010-02-16,Tuesday,2,1,2010,7,0.0,0.0,0.0,1139.9817889908256,232.08438112352582,-1372.0661701143515,1.203586042658611
2010-02-17,Wednesday,2,1,2010,7,0.0,0.0,0.0,1134.7763926940638,93.80159647518052,-1228.5779891692443,1.0826608634785633
2010-02-18,Thursday,2,1,2010,7,0.0,0.0,0.0,1129.6183181818183,146.2926693875244,-1275.9109875693428,1.1295062828150577
2010-02-19,Friday,2,1,2010,7,0.0,0.0,0.0,1124.5069230769232,160.24271647593298,-1284.749639552856,1.1425004267981473
2010-02-20,Saturday,2,1,2010,7,0.0,0.0,0.0,1119.4415765765766,125.04387457791675,-1244.4854511544934,1.1117020103544126
2010-02-21,Sunday,2,1,2010,7,0.0,0.0,0.0,1114.421659192825,-952.0049860184156,-162.41667317440942,0.1457407722064983
2010-02-22,Monday,2,1,2010,8,0.0,0.0,0.0,1109.4465625,202.99185925881034,-1312.4384217588104,1.1829667747145869
2010-02-23,Tuesday,2,1,2010,8,0.0,0.0,0.0,1104.515688888889,224.86397815523836,-1329.3796670441272,1.203586042658611
2010-02-24,Wednesday,2,1,2010,8,0.0,0.0,0.0,1099.6284513274336,90.89623729232095,-1190.5246886197544,1.0826608634785633
2010-02-25,Thursday,2,1,2010,8,0.0,0.0,0.0,1094.7842731277533,141.7814416971602,-1236.5657148249136,1.1295062828150577
2010-02-26,Friday,2,1,2010,8,0.0,0.0,0.0,1089.9825877192982,155.32298395254907,-1245.3055716718472,1.1425004267981473
2010-02-27,Saturday,2,1,2010,8,0.0,0.0,0.0,1085.2228384279476,121.22157273492367,-1206.4444111628713,1.1117020103544126
2010-02-28,Sunday,2,1,2010,8,0.0,0.0,0.0,1080.5044782608695,-923.0309212265508,-157.47355703431867,0.1457407722064983
2010-03-01,Monday,3,1,2010,9,0.0,0.0,0.0,1075.8269696969696,196.84059079642213,-1272.6675604933916,1.1829667747145869
2010-03-02,Tuesday,3,1,2010,9,0.0,0.0,0.0,1071.1897844827586,218.07928915917512,-1289.2690736419336,1.203586042658611
2010-03-03,Wednesday,3,1,2010,9,0.0,0.0,0.0,1066.5924034334764,88.16544904748727,-1154.7578524809637,1.0826608634785633
2010-03-04,Thursday,3,1,2010,9,0.0,0.0,0.0,1062.0343162393162,137.54011651818533,-1199.5744327575017,1.1295062828150577
2010-03-05,Friday,3,1,2010,9,0.0,0.0,0.0,1057.5150212765957,150.69634187736676,-1208.2113631539623,1.1425004267981473
2010-03-06,Saturday,3,1,2010,9,0.0,0.0,0.0,1053.0340254237287,117.62601761143016,-1170.6600430351589,1.1117020103544126
2010-03-07,Sunday,3,1,2010,9,0.0,0.0,0.0,1048.5908438818565,-895.768404565851,-152.82243931600544,0.1457407722064983
2010-03-08,Monday,3,1,2010,10,0.0,0.0,0.0,1044.185,191.0511616553509,-1235.2361616553508,1.1829667747145869
2010-03-09,Tuesday,3,1,2010,10,0.0,0.0,0.0,1039.8160251046024,211.69202964405284,-1251.5080547486552,1.203586042658611
2010-03-10,Wednesday,3,1,2010,10,0.0,0.0,0.0,1035.4834583333334,85.59395678360224,-1121.0774151169355,1.0826608634785633
2010-03-11,Thursday,3,1,2010,10,0.0,0.0,0.0,1031.186846473029,133.5451753745036,-1164.7320218475325,1.1295062828150577
2010-03-12,Friday,3,1,2010,10,23217.69,1071.0,11533.0,1026.925743801653,146.33735678174045,22044.426899416605,1.1425004267981473
2010-03-13,Saturday,3,1,2010,10,0.0,0.0,0.0,1022.6997119341564,114.23761381192395,-1136.9373257460804,1.1117020103544126
2010-03-14,Sunday,3,1,2010,10,0.0,0.0,0.0,1179.1307377049181,-1007.2833134593855,-171.8474242455327,0.1457407722064983
2010-03-15,Monday,3,1,2010,11,0.0,0.0,0.0,1174.3179591836736,214.86116948125263,-1389.179128664926,1.1829667747145869
2010-03-16,Tuesday,3,1,2010,11,0.0,0.0,0.0,1169.5443089430896,238.10289757162346,-1407.6472065147132,1.203586042658611
2010-03-17,Wednesday,3,1,2010,11,0.0,0.0,0.0,1164.8093117408907,96.28414349637302,-1261.0934552372637,1.0826608634785633
2010-03-18,Thursday,3,1,2010,11,0.0,0.0,0.0,1160.1125000000002,150.24185752228368,-1310.3543575222839,1.1295062828150577
2010-03-19,Friday,3,1,2010,11,0.0,0.0,0.0,1155.4534136546185,164.65260459115942,-1320.106018245778,1.1425004267981473
2010-03-20,Saturday,3,1,2010,11,0.0,0.0,0.0,1150.8316,128.55020329938526,-1279.3818032993852,1.1117020103544126
2010-03-21,Sunday,3,1,2010,11,0.0,0.0,0.0,1146.246613545817,-979.1917469485659,-167.05486659725102,0.1457407722064983
2010-03-22,Monday,3,1,2010,12,0.0,0.0,0.0,1141.698015873016,208.89280366232896,-1350.590819535345,1.1829667747145869
2010-03-23,Tuesday,3,1,2010,12,0.0,0.0,0.0,1137.1853754940712,231.51507036608444,-1368.7004458601557,1.203586042658611
2010-03-24,Wednesday,3,1,2010,12,0.0,0.0,0.0,1132.7082677165356,93.63064347875645,-1226.338911195292,1.0826608634785633
2010-03-25,Thursday,3,1,2010,12,0.0,0.0,0.0,1128.266274509804,146.11757123735822,-1274.383845747162,1.1295062828150577
2010-03-26,Friday,3,1,2010,12,0.0,0.0,0.0,1123.858984375,160.15038493436992,-1284.00936930937,1.1425004267981473
2010-03-27,Saturday,3,1,2010,12,0.0,0.0,0.0,1119.485992217899,125.04883589434364,-1244.5348281122426,1.1117020103544126
2010-03-28,Sunday,3,1,2010,12,0.0,0.0,0.0,1115.1468992248062,-952.6245290081009,-162.52237021670533,0.1457407722064983
2010-03-29,Monday,3,1,2010,13,0.0,0.0,0.0,1110.8413127413128,203.24705221199574,-1314.0883649533084,1.1829667747145869
2010-03-30,Tuesday,3,1,2010,13,0.0,0.0,0.0,1106.5688461538462,225.2819723177668,-1331.850818471613,1.203586042658611
2010-03-31,Wednesday,3,1,2010,13,0.0,0.0,0.0,1102.3291187739464,91.11947679541815,-1193.4485955693647,1.0826608634785633
2010-04-01,Thursday,4,2,2010,13,0.0,0.0,0.0,1098.121755725191,142.2136666623143,-1240.3354223875053,1.1295062828150577
2010-04-02,Friday,4,2,2010,13,0.0,0.0,0.0,1093.9463878326997,155.8878271604513,-1249.834214993151,1.1425004267981473
2010-04-03,Saturday,4,2,2010,13,0.0,0.0,0.0,1089.8026515151516,121.7331470638118,-1211.5357985789635,1.1117020103544126
2010-04-04,Sunday,4,2,2010,13,0.0,0.0,0.0,1085.6901886792455,-927.4608622041134,-158.2293264751321,0.1457407722064983
2010-04-05,Monday,4,2,2010,14,0.0,0.0,0.0,1081.6086466165414,197.89844557483795,-1279.5070921913793,1.1829667747145869
2010-04-06,Tuesday,4,2,2010,14,0.0,0.0,0.0,1077.557677902622,219.3757033805969,-1296.9333812832188,1.203586042658611
2010-04-07,Wednesday,4,2,2010,14,0.0,0.0,0.0,1073.5369402985075,88.73949046120946,-1162.276430759717,1.0826608634785633
2010-04-08,Thursday,4,2,2010,14,0.0,0.0,0.0,1069.5460966542753,138.51293927704964,-1208.0590359313248,1.1295062828150577
2010-04-09,Friday,4,2,2010,14,0.0,0.0,0.0,1065.584814814815,151.84629090073594,-1217.431105715551,1.1425004267981473
2010-04-10,Saturday,4,2,2010,14,0.0,0.0,0.0,1061.6527675276755,118.58874843116723,-1180.2415159588427,1.1117020103544126
2010-04-11,Sunday,4,2,2010,14,0.0,0.0,0.0,1057.7496323529413,-903.592384132684,-154.15724822025732,0.1457407722064983
2010-04-12,Monday,4,2,2010,15,0.0,0.0,0.0,1053.8750915750916,192.82412645753442,-1246.699218032626,1.1829667747145869
2010-04-13,Tuesday,4,2,2010,15,0.0,0.0,0.0,1167.1002189781022,237.60531496775005,-1404.7055339458523,1.203586042658611
2010-04-14,Wednesday,4,2,2010,15,0.0,0.0,0.0,1162.8562181818183,96.12269909632568,-1258.978917278144,1.0826608634785633
2010-04-15,Thursday,4,2,2010,15,0.0,0.0,0.0,1158.6429710144928,150.05154428588162,-1308.6945153003744,1.1295062828150577
2010-04-16,Friday,4,2,2010,15,0.0,0.0,0.0,1154.4601444043321,164.51106329906813,-1318.9712077034003,1.1425004267981473
2010-04-17,Saturday,4,2,2010,15,0.0,0.0,0.0,1150.3074100719425,128.4916502306137,-1278.7990603025562,1.1117020103544126
2010-04-18,Sunday,4,2,2010,15,0.0,0.0,0.0,1146.1844444444446,-979.138638420035,-167.04580602440956,0.1457407722064983
2010-04-19,Monday,4,2,2010,16,0.0,0.0,0.0,1142.0909285714285,208.96469363150192,-1351.0556222029304,1.1829667747145869
2010-04-20,Tuesday,4,2,2010,16,0.0,0.0,0.0,1138.0265480427047,231.6863213564538,-1369.7128693991585,1.203586042658611
2010-04-21,Wednesday,4,2,2010,16,0.0,0.0,0.0,1133.9909929078015,93.73667465067219,-1227.7276675584737,1.0826608634785633
2010-04-22,Thursday,4,2,2010,16,0.0,0.0,0.0,1129.9839575971732,146.3400219890577,-1276.323979586231,1.1295062828150577
2010-04-23,Friday,4,2,2010,16,0.0,0.0,0.0,1126.0051408450704,160.45621314733054,-1286.461353992401,1.1425004267981473
2010-04-24,Saturday,4,2,2010,16,0.0,0.0,0.0,1122.0542456140352,125.33571496179161,-1247.3899605758268,1.1117020103544126
2010-04-25,Sunday,4,2,2010,16,0.0,0.0,0.0,1118.130979020979,-955.1737067104536,-162.95727231052547,0.1457407722064983
2010-04-26,Monday,4,2,2010,17,0.0,0.0,0.0,1114.2350522648085,203.86799378683116,-1318.1030460516397,1.1829667747145869
2010-04-27,Tuesday,4,2,2010,17,0.0,0.0,0.0,1110.3661805555557,226.05505660126224,-1336.421237156818,1.203586042658611
2010-04-28,Wednesday,4,2,2010,17,0.0,0.0,0.0,1106.5240830449827,91.46623616432373,-1197.9903192093066,1.0826608634785633
2010-04-29,Thursday,4,2,2010,17,0.0,0.0,0.0,1102.7084827586207,142.80767663070114,-1245.5161593893217,1.1295062828150577
2010-04-30,Friday,4,2,2010,17,0.0,0.0,0.0,1098.9191065292098,156.59644169705115,-1255.515548226261,1.1425004267981473
2010-05-01,Saturday,5,2,2010,17,0.0,0.0,0.0,1095.1556849315068,122.33109165791303,-1217.4867765894198,1.1117020103544126
2010-05-02,Sunday,5,2,2010,17,0.0,0.0,0.0,1091.4179522184302,-932.3538570620811,-159.06409515634903,0.1457407722064983
2010-05-03,Monday,5,2,2010,18,0.0,0.0,0.0,1087.7056462585035,199.01399393476376,-1286.7196401932672,1.1829667747145869
2010-05-04,Tuesday,5,2,2010,18,0.0,0.0,0.0,1084.0185084745763,220.69103830902887,-1304.7095467836052,1.203586042658611
2010-05-05,Wednesday,5,2,2010,18,0.0,0.0,0.0,1080.356283783784,89.30318328205932,-1169.6594670658433,1.0826608634785633
2010-05-06,Thursday,5,2,2010,18,0.0,0.0,0.0,1076.7187205387206,139.44183913435464,-1216.1605596730753,1.1295062828150577
2010-05-07,Friday,5,2,2010,18,0.0,0.0,0.0,1073.1055704697987,152.9180017914157,-1226.0235722612144,1.1425004267981473
2010-05-08,Saturday,5,2,2010,18,0.0,0.0,0.0,1069.5165886287625,119.4671530572261,-1188.9837416859887,1.1117020103544126
2010-05-09,Sunday,5,2,2010,18,0.0,0.0,0.0,1065.9515333333334,-910.5989337306324,-155.35259960270093,0.1457407722064983
2010-05-10,Monday,5,2,2010,19,0.0,0.0,0.0,1062.4101661129569,194.3857615176762,-1256.795927630633,1.1829667747145869
2010-05-11,Tuesday,5,2,2010,19,0.0,0.0,0.0,1058.8922516556293,215.5756831164355,-1274.4679347720648,1.203586042658611
2010-05-12,Wednesday,5,2,2010,19,30547.66,2499.0,15892.0,1055.3975577557756,87.24007343725926,29405.022368806964,1.0826608634785633
2010-05-13,Thursday,5,2,2010,19,0.0,0.0,0.0,1051.925855263158,136.231007312182,-1188.1568625753398,1.1295062828150577
2010-05-14,Friday,5,2,2010,19,0.0,0.0,0.0,1048.476918032787,149.4084083076783,-1197.885326340465,1.1425004267981473
2010-05-15,Saturday,5,2,2010,19,0.0,0.0,0.0,1045.050522875817,116.73424432715885,-1161.784767202976,1.1117020103544126
2010-05-16,Sunday,5,2,2010,19,0.0,0.0,0.0,1041.6464495114008,-889.836091593452,-151.81035791794875,0.1457407722064983
2010-05-17,Monday,5,2,2010,20,0.0,0.0,0.0,1038.2644805194807,189.9679033013654,-1228.232383820846,1.1829667747145869
2010-05-18,Tuesday,5,2,2010,20,0.0,0.0,0.0,1034.9044012944985,210.69209158952594,-1245.5964928840244,1.203586042658611
2010-05-19,Wednesday,5,2,2010,20,0.0,0.0,0.0,1031.566,85.2701362951276,-1116.8361362951277,1.0826608634785633
2010-05-20,Thursday,5,2,2010,20,0.0,0.0,0.0,1028.2490675241158,133.16471454309752,-1161.4137820672133,1.1295062828150577
2010-05-21,Friday,5,2,2010,20,0.0,0.0,0.0,1024.9533974358976,146.05629658282655,-1171.009694018724,1.1425004267981473
2010-05-22,Saturday,5,2,2010,20,0.0,0.0,0.0,1021.678785942492,114.12357432623197,-1135.802360268724,1.1117020103544126
2010-05-23,Sunday,5,2,2010,20,0.0,0.0,0.0,1018.4250318471338,-869.998981271305,-148.42605057582887,0.1457407722064983
2010-05-24,Monday,5,2,2010,21,0.0,0.0,0.0,1015.1919365079366,185.74639433911284,-1200.9383308470494,1.1829667747145869
2010-05-25,Tuesday,5,2,2010,21,0.0,0.0,0.0,1011.9793037974684,206.0248617125428,-1218.0041655100113,1.203586042658611
2010-05-26,Wednesday,5,2,2010,21,0.0,0.0,0.0,1008.7869400630915,83.38719953151279,-1092.1741395946042,1.0826608634785633
2010-05-27,Thursday,5,2,2010,21,0.0,0.0,0.0,1005.6146540880504,130.2334157952935,-1135.848069883344,1.1295062828150577
2010-05-28,Friday,5,2,2010,21,0.0,0.0,0.0,1002.4622570532916,142.85129947912816,-1145.3135565324199,1.1425004267981473
2010-05-29,Saturday,5,2,2010,21,0.0,0.0,0.0,999.3295625000001,111.62712113784565,-1110.9566836378458,1.1117020103544126
2010-05-30,Sunday,5,2,2010,21,0.0,0.0,0.0,996.216386292835,-851.02704086975,-145.189345423085,0.1457407722064983
2010-05-31,Monday,5,2,2010,22,0.0,0.0,0.0,993.122546583851,181.70842924478427,-1174.8309758286352,1.1829667747145869
2010-06-01,Tuesday,6,2,2010,22,0.0,0.0,0.0,990.0478637770899,201.55992662898922,-1191.6077904060792,1.203586042658611
2010-06-02,Wednesday,6,2,2010,22,0.0,0.0,0.0,986.9921604938272,81.58562423299246,-1068.5777847268196,1.0826608634785633
2010-06-03,Thursday,6,2,2010,22,0.0,0.0,0.0,983.9552615384616,127.42838837816409,-1111.3836499166257,1.1295062828150577
2010-06-04,Friday,6,2,2010,22,0.0,0.0,0.0,980.9369938650308,139.7839402878585,-1120.7209341528892,1.1425004267981473
2010-06-05,Saturday,6,2,2010,22,0.0,0.0,0.0,977.9371865443426,109.23754973734131,-1087.1747362816839,1.1117020103544126
2010-06-06,Sunday,6,2,2010,22,0.0,0.0,0.0,974.9556707317074,-832.8648784121639,-142.09079231954354,0.1457407722064983
2010-06-07,Monday,6,2,2010,23,0.0,0.0,0.0,971.9922796352585,177.84229245234206,-1149.8345720876005,1.1829667747145869
2010-06-08,Tuesday,6,2,2010,23,0.0,0.0,0.0,969.0468484848485,197.28441303382883,-1166.3312615186774,1.203586042658611
2010-06-09,Wednesday,6,2,2010,23,0.0,0.0,0.0,966.1192145015107,79.86024849392616,-1045.9794629954367,1.0826608634785633
2010-06-10,Thursday,6,2,2010,23,0.0,0.0,0.0,963.20921686747,124.74164524970882,-1087.9508621171788,1.1295062828150577
2010-06-11,Friday,6,2,2010,23,0.0,0.0,0.0,960.3166966966968,136.8455391406663,-1097.1622358373631,1.1425004267981473
2010-06-12,Saturday,6,2,2010,23,30549.22,1853.0,15862.0,957.4414970059881,106.94814001230722,29484.830362981706,1.1117020103544126
2010-06-13,Sunday,6,2,2010,23,0.0,0.0,0.0,1004.4261492537314,-858.0403066370931,-146.38584261663834,0.1457407722064983
2010-06-14,Monday,6,2,2010,24,0.0,0.0,0.0,1001.4367857142857,183.22965876268574,-1184.6664444769715,1.1829667747145869
2010-06-15,Tuesday,6,2,2010,24,0.0,0.0,0.0,998.4651632047478,203.27357130933868,-1201.7387345140864,1.203586042658611
2010-06-16,Wednesday,6,2,2010,24,0.0,0.0,0.0,995.511124260355,82.28980913387625,-1077.8009333942314,1.0826608634785633
2010-06-17,Thursday,6,2,2010,24,0.0,0.0,0.0,992.5745132743363,128.54463563112446,-1121.1191489054606,1.1295062828150577
2010-06-18,Friday,6,2,2010,24,0.0,0.0,0.0,989.6551764705882,141.02628503005465,-1130.6814615006429,1.1425004267981473
2010-06-19,Saturday,6,2,2010,24,0.0,0.0,0.0,986.7529618768328,110.22228956481331,-1096.9752514416462,1.1117020103544126
2010-06-20,Sunday,6,2,2010,24,0.0,0.0,0.0,983.8677192982457,-840.478078138673,-143.38964115957265,0.1457407722064983
2010-06-21,Monday,6,2,2010,25,0.0,0.0,0.0,980.9993002915452,179.4902779716105,-1160.4895782631556,1.1829667747145869
2010-06-22,Tuesday,6,2,2010,25,0.0,0.0,0.0,978.1475581395349,199.13719049781145,-1177.2847486373464,1.203586042658611
2010-06-23,Wednesday,6,2,2010,25,0.0,0.0,0.0,975.312347826087,80.6201608326092,-1055.9325086586962,1.0826608634785633
2010-06-24,Thursday,6,2,2010,25,0.0,0.0,0.0,972.4935260115607,125.94402161546587,-1098.4375476270266,1.1295062828150577
2010-06-25,Friday,6,2,2010,25,0.0,0.0,0.0,969.6909510086456,138.18137438103338,-1107.872325389679,1.1425004267981473
2010-06-26,Saturday,6,2,2010,25,0.0,0.0,0.0,966.9044827586207,108.00517454483143,-1074.9096573034521,1.1117020103544126
2010-06-27,Sunday,6,2,2010,25,0.0,0.0,0.0,964.1339828080229,-823.6203516430548,-140.51363116496805,0.1457407722064983
2010-06-28,Monday,6,2,2010,26,0.0,0.0,0.0,961.3793142857143,175.90047241217832,-1137.2797866978926,1.1829667747145869
2010-06-29,Tuesday,6,2,2010,26,0.0,0.0,0.0,958.6403418803419,195.16579353631664,-1153.8061354166584,1.203586042658611
2010-06-30,Wednesday,6,2,2010,26,0.0,0.0,0.0,955.9169318181819,79.01691899786981,-1034.9338508160517,1.0826608634785633
2010-07-01,Thursday,7,3,2010,26,0.0,0.0,0.0,953.2089518413597,123.44654809901186,-1076.6554999403716,1.1295062828150577
2010-07-02,Friday,7,3,2010,26,0.0,0.0,0.0,950.5162711864407,135.44897432265137,-1085.965245509092,1.1425004267981473
2010-07-03,Saturday,7,3,2010,26,0.0,0.0,0.0,947.8387605633803,105.87549504676434,-1053.7142556101446,1.1117020103544126
2010-07-04,Sunday,7,3,2010,26,0.0,0.0,0.0,1019.1681460674157,-870.6337934512853,-148.53435261613038,0.1457407722064983
2010-07-05,Monday,7,3,2010,27,0.0,0.0,0.0,1081.002380952381,197.78751910164632,-1278.7899000540272,1.1829667747145869
2010-07-06,Tuesday,7,3,2010,27,0.0,0.0,0.0,1141.8977653631287,232.47444717099037,-1374.372212534119,1.203586042658611
2010-07-07,Wednesday,7,3,2010,27,0.0,0.0,0.0,1157.9958495821727,95.72093683105487,-1253.7167864132275,1.0826608634785633
2010-07-08,Thursday,7,3,2010,27,0.0,0.0,0.0,1192.7523055555555,154.4689174115899,-1347.2212229671454,1.1295062828150577
2010-07-09,Friday,7,3,2010,27,0.0,0.0,0.0,1222.8270637119115,174.2533784792727,-1397.0804421911841,1.1425004267981473
2010-07-10,Saturday,7,3,2010,27,0.0,0.0,0.0,1272.7858839779005,142.1727419910497,-1414.9586259689502,1.1117020103544126
2010-07-11,Sunday,7,3,2010,27,0.0,0.0,0.0,1372.0129752066116,-1172.0547447226647,-199.95823048394686,0.1457407722064983
2010-07-12,Monday,7,3,2010,28,41886.29,1077.0,16025.0,1368.2437087912087,250.34313842105192,40267.70315278774,1.1829667747145869
2010-07-13,Tuesday,7,3,2010,28,0.0,0.0,0.0,1441.620904109589,293.4938948816,-1735.114798991189,1.203586042658611
2010-07-14,Wednesday,7,3,2010,28,0.0,0.0,0.0,1446.2474794520547,119.54806545520253,-1565.7955449072572,1.0826608634785633
2010-07-15,Thursday,7,3,2010,28,0.0,0.0,0.0,1446.2474794520547,187.29813509448218,-1633.5456145465369,1.1295062828150577
2010-07-16,Friday,7,3,2010,28,0.0,0.0,0.0,1446.2474794520547,206.09088307766262,-1652.3383625297174,1.1425004267981473
2010-07-17,Saturday,7,3,2010,28,0.0,0.0,0.0,1446.2474794520547,161.54875092479656,-1607.7962303768513,1.1117020103544126
2010-07-18,Sunday,7,3,2010,28,0.0,0.0,0.0,1446.2474794520547,-1235.4702549950105,-210.7772244570442,0.1457407722064983
2010-07-19,Monday,7,3,2010,29,0.0,0.0,0.0,1446.2474794520547,264.61523675444323,-1710.862716206498,1.1829667747145869
2010-07-20,Tuesday,7,3,2010,29,0.0,0.0,0.0,1446.2474794520547,294.43580104663454,-1740.6832804986893,1.203586042658611
2010-07-21,Wednesday,7,3,2010,29,0.0,0.0,0.0,1446.2474794520547,119.54806545520253,-1565.7955449072572,1.0826608634785633
2010-07-22,Thursday,7,3,2010,29,0.0,0.0,0.0,1446.2474794520547,187.29813509448218,-1633.5456145465369,1.1295062828150577
2010-07-23,Friday,7,3,2010,29,0.0,0.0,0.0,1446.2474794520547,206.09088307766262,-1652.3383625297174,1.1425004267981473
2010-07-24,Saturday,7,3,2010,29,0.0,0.0,0.0,1446.2474794520547,161.54875092479656,-1607.7962303768513,1.1117020103544126
2010-07-25,Sunday,7,3,2010,29,0.0,0.0,0.0,1446.2474794520547,-1235.4702549950105,-210.7772244570442,0.1457407722064983
2010-07-26,Monday,7,3,2010,30,0.0,0.0,0.0,1446.2474794520547,264.61523675444323,-1710.862716206498,1.1829667747145869
2010-07-27,Tuesday,7,3,2010,30,0.0,0.0,0.0,1446.2474794520547,294.43580104663454,-1740.6832804986893,1.203586042658611
2010-07-28,Wednesday,7,3,2010,30,0.0,0.0,0.0,1446.2474794520547,119.54806545520253,-1565.7955449072572,1.0826608634785633
2010-07-29,Thursday,7,3,2010,30,0.0,0.0,0.0,1446.2474794520547,187.29813509448218,-1633.5456145465369,1.1295062828150577
2010-07-30,Friday,7,3,2010,30,0.0,0.0,0.0,1446.2474794520547,206.09088307766262,-1652.3383625297174,1.1425004267981473
2010-07-31,Saturday,7,3,2010,30,0.0,0.0,0.0,1446.2474794520547,161.54875092479656,-1607.7962303768513,1.1117020103544126
2010-08-01,Sunday,8,3,2010,30,0.0,0.0,0.0,1446.2474794520547,-1235.4702549950105,-210.7772244570442,0.1457407722064983
2010-08-02,Monday,8,3,2010,31,0.0,0.0,0.0,1446.2474794520547,264.61523675444323,-1710.862716206498,1.1829667747145869
