product_id,product_name,category,avg_unit_price,trading_days,avg_daily_demand,std_daily_demand,cv,safety_stock,reorder_point,eoq,max_stock,annual_demand,orders_per_year,annual_holding_cost,annual_ordering_cost,total_annual_cost,avg_daily_forecast,forecast_annual,forecast_rop,forecast_eoq,stockout_risk
16216,LETTER SHAPE PENCIL SHARPENER,General,0.09,73,33.959,186.64,5.496,812.3,1050.0,8454.1,9504.1,12395.0,1.5,73.31,73.31,146.62,,,1050.0,8298.3,Critical
84879,damaged,General,1.68,1197,33.524,114.744,3.423,499.4,734.1,1909.0,2643.0,12236.2,6.4,320.49,320.49,640.98,21.79,7953.4,651.9,1538.5,Critical
22492,MINI PAINT SET VINTAGE ,General,0.66,546,32.738,107.356,3.279,467.2,696.4,3009.4,3705.8,11949.4,4.0,198.54,198.54,397.07,4.79,1748.4,500.7,1150.9,Critical
84212,"ASSORTED FLOWER COLOUR ""LEIS""",General,0.61,212,32.491,123.528,3.802,537.6,765.1,3123.9,3888.9,11859.1,3.8,189.81,189.81,379.63,,,765.0,3117.8,Critical
84422,Dagamed,General,0.49,22,30.091,100.762,3.349,438.5,649.2,3354.0,4003.1,10983.2,3.3,163.73,163.73,327.47,,,649.1,3347.7,Critical
16052,Unknown,General,0.28,23,29.174,68.169,2.337,296.7,500.9,4398.4,4899.3,10648.5,2.4,121.05,121.05,242.1,,,500.9,4360.6,Critical
16045,check,General,0.04,126,29.095,61.815,2.125,269.0,472.7,11255.7,11728.4,10619.8,0.9,47.17,47.17,94.35,,,472.7,11521.6,Critical
15036,Unknown,General,0.81,543,28.941,119.363,4.124,519.5,722.1,2558.9,3280.9,10563.5,4.1,206.41,206.41,412.82,,,722.1,2553.6,Critical
21915,John Lewis,General,1.25,827,28.677,124.042,4.325,539.9,740.6,2047.1,2787.7,10467.2,5.1,255.66,255.66,511.32,14.93,5449.4,644.4,1476.4,Critical
15034,PAPER POCKET TRAVELING FAN ,General,0.13,207,28.647,124.387,4.342,541.4,741.9,6233.2,6975.1,10456.3,1.7,83.88,83.88,167.75,,,741.9,6341.7,Critical
21212,PACK OF 72 RETROSPOT CAKE CASES,General,0.54,1086,28.564,57.657,2.019,250.9,450.9,3100.2,3551.1,10425.7,3.4,168.14,168.14,336.29,10.140000000000002,3701.1,321.9,1851.2,Critical
22423,damages,General,12.45,1271,27.266,26.023,0.954,113.3,304.1,632.1,936.2,9952.1,15.7,787.2,787.2,1574.4,20.93,7639.4,259.8,553.9,Medium
22616,PACK OF 12 LONDON TISSUES ,General,0.32,639,27.18,98.831,3.636,430.1,620.4,3919.1,4539.5,9920.7,2.5,126.57,126.57,253.13,5.36,1956.4,467.6,1748.4,Critical
40016,Unknown,General,0.4,171,26.544,88.201,3.323,383.9,569.7,3469.9,4039.6,9688.5,2.8,139.61,139.61,279.21,,,569.7,3480.0,Critical
16259,Unknown,General,0.08,65,26.308,57.258,2.176,249.2,433.4,7746.9,8180.3,9602.3,1.2,61.98,61.98,123.95,,,433.4,7746.9,Critical
20668,DISCO BALL CHRISTMAS DECORATION,General,0.12,329,26.267,75.886,2.889,330.3,514.1,6390.4,6904.5,9587.6,1.5,75.02,75.02,150.03,,,514.2,6320.5,Critical
16219,HOUSE SHAPE PENCIL SHARPENER,General,0.1,88,25.261,82.751,3.276,360.2,537.0,6688.0,7225.0,9220.4,1.4,68.93,68.93,137.86,,,537.0,6789.8,Critical
20725,LUNCH BAG RED SPOTTY,General,1.65,1180,25.191,30.461,1.209,132.6,308.9,1667.3,1976.2,9194.6,5.5,275.74,275.74,551.48,18.93,6909.4,265.1,1447.0,High
23203,JUMBO BAG VINTAGE DOILY ,General,2.05,1060,25.18,48.892,1.942,212.8,389.1,1495.6,1884.6,9190.8,6.1,307.27,307.27,614.53,19.21,7011.6,347.3,1307.7,Critical
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,General,2.93,1051,24.696,49.737,2.014,216.5,389.3,1240.9,1630.3,9014.2,7.3,363.21,363.21,726.42,14.140000000000002,5161.1,315.5,938.5,Critical
22178,VICTORIAN GLASS HANGING T-LIGHT,General,1.42,1034,24.596,46.44,1.888,202.1,374.3,1778.5,2152.8,8977.4,5.0,252.39,252.39,504.79,20.36,7431.4,344.6,1617.6,Critical
47566,PARTY BUNTING,General,4.84,1197,24.019,28.015,1.166,121.9,290.1,951.3,1241.4,8767.0,9.2,460.77,460.77,921.55,16.29,5945.8,235.9,783.7,High
23084,website fixed,General,2.02,923,23.995,80.967,3.374,352.4,520.4,1472.4,1992.8,8758.0,5.9,297.4,297.4,594.8,8.0,2920.0,408.4,850.2,Critical
23326,HANGING MINI COLOURED BOTTLES,General,0.62,118,23.771,45.665,1.921,198.7,365.1,2652.4,3017.5,8676.5,3.3,163.56,163.56,327.12,,,365.1,2645.2,Critical
17021,NAMASTE SWAGAT INCENSE,General,0.29,84,23.571,91.257,3.872,397.2,562.2,3876.1,4438.3,8603.6,2.2,110.98,110.98,221.97,,,562.2,3851.5,Critical
22151,PLACE SETTING WHITE HEART,General,0.43,491,23.22,66.098,2.847,287.7,450.2,3144.9,3595.1,8475.3,2.7,134.75,134.75,269.49,,,450.2,3139.3,Critical
22386,JUMBO BAG PINK POLKADOT,General,2.01,1046,22.965,43.375,1.889,188.8,349.5,1443.9,1793.5,8382.1,5.8,290.25,290.25,580.5,8.43,3077.0,247.8,874.9,Critical
22469,Unknown,General,1.64,1058,22.951,56.787,2.474,247.2,407.8,1598.5,2006.3,8377.1,5.2,262.02,262.02,524.04,13.5,4927.5,341.7,1225.7,Critical
84950,ASSORTED COLOUR T-LIGHT HOLDER,General,0.67,167,22.91,140.716,6.142,612.4,772.8,2503.7,3276.5,8362.2,3.3,167.0,167.0,333.99,,,772.8,2498.1,Critical
23447,PINK BUNNY EASTER EGG BASKET,General,1.56,9,22.778,45.604,2.002,198.5,357.9,1633.6,1991.5,8313.9,5.1,254.47,254.47,508.94,,,357.9,1632.4,Critical
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,General,1.53,349,22.705,170.486,7.509,742.0,900.9,1647.3,2548.2,8287.3,5.0,251.54,251.54,503.08,,,900.9,1645.7,Critical
90176B,DIAMANTE NECKLACE BLACK ,General,7.47,4,22.5,37.687,1.675,164.0,321.5,741.3,1062.8,8212.5,11.1,553.93,553.93,1107.86,,,321.5,741.4,Critical
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,General,1.24,451,22.499,121.38,5.395,528.3,685.8,1818.9,2504.6,8212.1,4.5,225.75,225.75,451.49,,,685.8,1819.7,Critical
22608,PENS ASSORTED FUNKY JEWELED ,General,0.21,159,22.421,69.246,3.088,301.4,458.3,4362.9,4821.2,8183.8,1.9,93.79,93.79,187.58,,,458.3,4414.2,Critical
17003,BROCADE RING PURSE ,General,0.31,408,22.316,71.025,3.183,309.1,465.3,3635.1,4100.4,8145.4,2.2,112.04,112.04,224.08,,,465.3,3624.6,Critical
21137,Unknown,General,3.61,568,21.569,65.608,3.042,285.5,436.5,1043.7,1480.3,7872.6,7.5,377.13,377.13,754.26,,,436.5,1044.2,Critical
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,General,7.66,8,21.5,22.672,1.054,98.7,249.2,715.8,964.9,7847.5,11.0,548.19,548.19,1096.38,,,249.2,715.7,High
17038,PORCELAIN BUDAH INCENSE HOLDER,General,0.09,53,21.472,34.176,1.592,148.7,299.0,6451.4,6750.4,7837.2,1.2,60.74,60.74,121.48,,,299.0,6598.5,Critical
22961,JAM MAKING SET PRINTED,General,1.46,1043,21.362,34.803,1.629,151.5,301.0,1631.7,1932.7,7797.3,4.8,238.94,238.94,477.87,16.36,5971.4,266.0,1430.0,Critical
23209,LUNCH BAG VINTAGE DOILY ,General,1.65,1020,21.354,28.107,1.316,122.3,271.8,1537.2,1809.0,7794.2,5.1,253.51,253.51,507.02,11.93,4354.4,205.8,1148.7,High
62018,SOMBRERO ,General,1.84,144,21.319,90.442,4.242,393.6,542.9,1454.1,1997.0,7781.6,5.4,267.57,267.57,535.15,,,542.8,1454.2,Critical
21703,BAG 125g SWIRLY MARBLES,General,0.43,489,21.311,73.868,3.466,321.5,470.7,3022.8,3493.4,7778.5,2.6,128.66,128.66,257.33,,,470.7,3007.5,Critical
85204,lost??,General,0.14,78,21.256,58.913,2.772,256.4,405.2,5188.5,5593.7,7758.6,1.5,74.77,74.77,149.53,,,405.2,5264.0,Critical
84946,ANTIQUE SILVER T-LIGHT GLASS,General,1.23,948,21.177,30.016,1.417,130.6,278.9,1771.4,2050.3,7729.7,4.4,218.18,218.18,436.36,11.0,4015.0,207.6,1277.5,High
22610,PENS ASSORTED FUNNY FACE,General,0.24,319,20.969,35.81,1.708,155.9,302.6,3978.7,4281.3,7653.6,1.9,96.18,96.18,192.36,,,302.7,3993.1,Critical
21326,AGED GLASS SILVER T-LIGHT HOLDER,General,0.64,584,20.846,36.791,1.765,160.1,306.0,2442.9,2748.9,7608.8,3.1,155.73,155.73,311.47,,,306.0,2438.1,Critical
16218,CARTOON  PENCIL SHARPENERS,General,0.07,127,20.819,47.024,2.259,204.7,350.4,7281.8,7632.2,7598.9,1.0,52.18,52.18,104.35,,,350.4,7367.4,Critical
21181,dotcom,General,2.07,936,20.699,31.547,1.524,137.3,282.2,1351.5,1633.7,7555.0,5.6,279.51,279.51,559.03,13.29,4850.8,230.3,1082.4,Critical
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,General,0.65,816,20.661,34.429,1.666,149.8,294.5,2414.3,2708.8,7541.1,3.1,156.18,156.18,312.35,,,294.4,2408.5,Critical
21977,PACK OF 60 PINK PAISLEY CAKE CASES,General,0.55,898,20.551,39.248,1.91,170.8,314.7,2611.4,2926.1,7501.2,2.9,143.62,143.62,287.25,10.93,3989.4,247.3,1904.4,Critical
75049L,LARGE CIRCULAR MIRROR MOBILE,General,1.11,260,20.515,46.189,2.251,201.0,344.6,1834.2,2178.9,7488.1,4.1,204.12,204.12,408.24,,,344.6,1836.6,Critical
21790,VINTAGE SNAP CARDS,General,0.85,969,20.281,31.72,1.564,138.1,280.0,2092.5,2372.6,7402.5,3.5,176.88,176.88,353.75,12.71,4639.2,227.1,1652.0,Critical
85099F,Unknown,General,2.0,879,20.133,40.704,2.022,177.2,318.1,1356.7,1674.8,7348.6,5.4,270.83,270.83,541.66,14.21,5186.7,276.7,1138.7,Critical
85213,Unknown,General,0.5,54,20.13,64.723,3.215,281.7,422.6,2703.0,3125.6,7347.3,2.7,135.91,135.91,271.82,,,422.6,2710.6,Critical
20727,LUNCH BAG  BLACK SKULL.,General,1.64,1103,20.079,22.244,1.108,96.8,237.4,1493.0,1730.4,7328.8,4.9,245.43,245.43,490.87,8.71,3179.2,157.8,984.5,High
35957,Unknown,General,0.38,28,19.893,37.097,1.865,161.5,300.7,3108.5,3409.2,7260.9,2.3,116.79,116.79,233.58,,,300.8,3090.9,Critical
22383,LUNCH BAG SUKI DESIGN ,General,1.65,1109,19.885,23.048,1.159,100.3,239.5,1484.2,1723.7,7257.9,4.9,244.5,244.5,489.01,18.29,6675.8,228.3,1422.3,High
21787,RAIN PONCHO RETROSPOT,General,0.86,284,19.87,76.167,3.833,331.5,470.6,2053.5,2524.0,7252.4,3.5,176.59,176.59,353.18,,,470.6,2053.4,Critical
71459,HANGING JAM JAR T-LIGHT HOLDERS,General,0.82,676,19.629,34.133,1.739,148.6,286.0,2086.2,2372.1,7164.5,3.4,171.71,171.71,343.43,,,286.0,2090.1,Critical
22457,NATURAL SLATE HEART CHALKBOARD ,General,2.96,1100,19.61,26.99,1.376,117.5,254.7,1099.5,1354.2,7157.6,6.5,325.5,325.5,651.0,14.0,5110.0,215.5,929.1,High
44235,ASSORTED COLOURED CIRCLE MOBILE ,General,0.41,44,19.545,64.551,3.303,280.9,417.8,2941.7,3359.4,7134.1,2.4,121.26,121.26,242.52,,,417.7,2949.6,Critical
84991,60 TEATIME FAIRY CAKE CASES,General,0.55,895,19.347,32.853,1.698,143.0,278.4,2540.0,2818.4,7061.8,2.8,139.01,139.01,278.02,6.5,2372.5,188.5,1468.6,Critical
22470,Unknown,General,2.95,1004,19.317,46.6,2.412,202.8,338.0,1093.1,1431.1,7050.6,6.5,322.5,322.5,645.0,23.07,8420.6,364.3,1194.7,Critical
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,General,2.93,891,19.208,25.58,1.332,111.3,245.8,1094.3,1340.1,7010.8,6.4,320.33,320.33,640.66,16.5,6022.5,226.8,1013.8,High
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,General,0.85,579,19.117,42.589,2.228,185.4,319.2,2031.5,2350.7,6977.9,3.4,171.74,171.74,343.48,,,319.2,2026.0,Critical
23201,JUMBO BAG ALPHABET,General,2.06,876,19.108,31.83,1.666,138.5,272.3,1302.5,1574.8,6974.6,5.4,267.73,267.73,535.46,,,272.3,1301.1,Critical
22741,FUNKY DIVA PEN,General,0.85,305,19.089,25.271,1.324,110.0,243.6,2021.8,2265.4,6967.3,3.4,172.31,172.31,344.62,,,243.6,2024.5,High
22382,LUNCH BAG SPACEBOY DESIGN ,General,1.65,1078,19.058,20.184,1.059,87.8,221.2,1450.0,1671.2,6956.0,4.8,239.86,239.86,479.73,18.36,6701.4,216.3,1425.0,High
22629,SPACEBOY LUNCH BOX ,General,1.92,963,19.023,29.442,1.548,128.1,261.3,1344.1,1605.4,6943.3,5.2,258.29,258.29,516.58,11.71,4274.2,210.1,1055.0,Critical
21175,GIN AND TONIC DIET METAL SIGN,General,2.44,947,18.945,68.885,3.636,299.8,432.4,1189.7,1622.1,6915.0,5.8,290.61,290.61,581.23,12.359999999999998,4511.4,386.3,961.5,Critical
20728,LUNCH BAG CARS BLUE,General,1.65,1065,18.82,21.274,1.13,92.6,224.3,1443.7,1668.0,6869.2,4.8,237.9,237.9,475.81,12.43,4537.0,179.6,1172.5,High
23232,WRAP VINTAGE LEAF DESIGN,General,0.42,412,18.794,39.883,2.122,173.6,305.1,2860.9,3166.0,6859.7,2.4,119.89,119.89,239.77,,,305.2,2857.7,Critical
23167,SMALL CERAMIC TOP STORAGE JAR ,General,0.82,296,18.78,80.918,4.309,352.2,483.6,2044.0,2527.7,6854.8,3.4,167.68,167.68,335.36,,,483.7,2044.4,Critical
21498,RED RETROSPOT WRAP ,General,0.42,604,18.772,35.545,1.894,154.7,286.1,2863.9,3150.0,6851.6,2.4,119.62,119.62,239.24,,,286.1,2856.0,Critical
23202,JUMBO BAG VINTAGE LEAF,General,2.07,916,18.635,24.586,1.319,107.0,237.5,1280.3,1517.8,6801.9,5.3,265.64,265.64,531.28,9.640000000000002,3518.6,174.5,921.9,High
23310,BUBBLEGUM RING ASSORTED,General,0.43,327,18.566,34.971,1.884,152.2,282.2,2809.3,3091.4,6776.5,2.4,120.61,120.61,241.22,,,282.2,2807.1,Critical
20724,RED RETROSPOT CHARLOTTE BAG,General,0.84,942,18.539,27.133,1.464,118.1,247.9,2004.8,2252.6,6766.8,3.4,168.77,168.77,337.54,6.64,2423.6,164.6,1201.1,High
23298,"BUNTING , SPOTTY ",General,4.92,1017,18.534,18.504,0.998,80.5,210.3,829.4,1039.7,6764.9,8.2,407.83,407.83,815.65,11.43,4172.0,160.5,651.1,Medium
22865,Unknown,General,2.1,845,18.528,33.814,1.825,147.2,276.9,1269.5,1546.4,6762.7,5.3,266.34,266.34,532.69,,,276.9,1268.9,Critical
23199,JUMBO BAG APPLES,General,2.06,906,18.502,29.926,1.617,130.2,259.8,1279.1,1538.8,6753.3,5.3,263.99,263.99,527.99,,,259.7,1280.3,Critical
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,General,0.55,710,18.469,42.779,2.316,186.2,315.5,2468.5,2783.9,6741.2,2.7,136.55,136.55,273.09,,,315.5,2475.6,Critical
23206,LUNCH BAG APPLE DESIGN,General,1.64,927,18.45,25.88,1.403,112.6,241.8,1433.0,1674.7,6734.2,4.7,234.98,234.98,469.95,10.140000000000002,3701.1,183.6,1062.3,High
22609,PENS ASSORTED SPACEBALL,General,0.29,225,18.404,32.177,1.748,140.0,268.9,3416.8,3685.7,6717.6,2.0,98.3,98.3,196.6,,,268.8,3403.2,Critical
22440,BALLOON WATER BOMB PACK OF 35,General,0.42,335,18.328,92.6,5.052,403.0,531.3,2830.0,3361.3,6689.9,2.4,118.19,118.19,236.39,,,531.3,2822.1,Critical
22727,ALARM CLOCK BAKELIKE RED ,General,3.76,1072,18.322,29.912,1.633,130.2,258.4,943.2,1201.6,6687.5,7.1,354.52,354.52,709.03,16.93,6179.4,248.7,906.5,Critical
22952,72 CAKE CASES VINTAGE CHRISTMAS,General,0.54,726,18.304,31.583,1.725,137.5,265.6,2479.0,2744.6,6681.1,2.7,134.75,134.75,269.5,,,265.6,2487.2,Critical
16043,Unknown,General,0.12,7,18.286,25.682,1.404,111.8,239.8,5305.1,5544.9,6674.3,1.3,62.9,62.9,125.81,,,239.8,5273.5,High
22993,SET OF 4 PANTRY JELLY MOULDS,General,1.26,986,18.285,21.542,1.178,93.8,221.8,1630.3,1852.0,6674.0,4.1,204.69,204.69,409.38,10.43,3807.0,166.8,1229.1,High
20971,PINK BLUE FELT CRAFT TRINKET BOX,General,1.27,754,18.236,74.733,4.098,325.3,452.9,1621.8,2074.7,6656.2,4.1,205.2,205.2,410.41,,,453.0,1618.8,Critical
84978,HANGING HEART JAR T-LIGHT HOLDER,General,1.21,818,18.149,23.248,1.281,101.2,228.2,1652.7,1880.9,6624.4,4.0,200.41,200.41,400.82,,,228.2,1654.5,High
22998,TRAVEL CARD WALLET KEEP CALM,General,0.43,668,18.12,38.255,2.111,166.5,293.3,2786.2,3079.6,6613.7,2.4,118.69,118.69,237.37,,,293.3,2773.1,Critical
16008,check,General,0.15,156,18.045,39.684,2.199,172.7,299.0,4688.9,4987.9,6586.4,1.4,70.23,70.23,140.47,,,299.0,4685.6,Critical
21731,RED TOADSTOOL LED NIGHT LIGHT,General,1.66,769,18.023,43.046,2.388,187.3,313.5,1409.4,1722.9,6578.5,4.7,233.39,233.39,466.77,,,313.5,1407.6,Critical
21982,PACK OF 12 SUKI TISSUES ,General,0.34,458,18.0,68.196,3.789,296.8,422.8,3125.5,3548.4,6570.0,2.1,105.1,105.1,210.2,,,422.8,3108.3,Critical
22034,Unknown,General,0.42,3,18.0,24.269,1.348,105.6,231.6,2785.6,3017.3,6570.0,2.4,117.93,117.93,235.85,,,231.6,2796.7,High
10124A,SPOTS ON RED BOOKCOVER TAPE,General,0.42,21,18.0,26.95,1.497,117.3,243.3,2799.9,3043.2,6570.0,2.3,117.33,117.33,234.65,,,243.3,2796.7,High
79000,Unknown,General,0.81,227,17.996,48.184,2.678,209.7,335.7,2019.4,2355.1,6568.4,3.3,162.63,162.63,325.27,,,335.7,2013.6,Critical
22740,adjustment,General,0.85,184,17.908,23.764,1.327,103.4,228.8,1963.2,2191.9,6536.3,3.3,166.47,166.47,332.95,,,228.8,1960.8,High
21981,PACK OF 12 WOODLAND TISSUES ,General,0.33,391,17.87,46.651,2.611,203.0,328.1,3148.1,3476.2,6522.4,2.1,103.59,103.59,207.18,,,328.1,3143.6,Critical
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,General,0.84,942,17.856,22.37,1.253,97.4,222.3,1971.9,2194.2,6517.3,3.3,165.26,165.26,330.51,,,222.4,1969.6,High
75131,Unknown,General,1.58,42,17.833,60.015,3.365,261.2,386.0,1433.1,1819.1,6509.2,4.5,227.11,227.11,454.21,,,386.0,1435.2,Critical
82482,WOODEN PICTURE FRAME WHITE FINISH,General,2.63,1064,17.78,19.732,1.11,85.9,210.3,1110.1,1320.4,6489.7,5.8,292.31,292.31,584.63,7.79,2843.4,140.4,735.2,High
23309,SET OF 60 I LOVE LONDON CAKE CASES ,General,0.56,499,17.735,47.95,2.704,208.7,332.8,2406.0,2738.8,6473.4,2.7,134.53,134.53,269.06,,,332.8,2404.1,Critical
22384,LUNCH BAG PINK POLKADOT,General,1.65,1043,17.731,21.389,1.206,93.1,217.2,1398.6,1615.8,6471.7,4.6,231.36,231.36,462.71,17.36,6336.4,214.6,1385.7,High
22867,Unknown,General,2.09,807,17.704,28.44,1.606,123.8,247.7,1242.3,1490.0,6461.9,5.2,260.08,260.08,520.16,,,247.7,1243.3,Critical
21733,RED HANGING HEART T-LIGHT HOLDER,General,2.94,910,17.7,36.556,2.065,159.1,283.0,1047.9,1330.9,6460.5,6.2,308.25,308.25,616.5,,,283.0,1048.2,Critical
20726,LUNCH BAG WOODLAND,General,1.65,1017,17.672,19.527,1.105,85.0,208.7,1397.3,1606.0,6450.1,4.6,230.81,230.81,461.61,20.5,7482.5,228.5,1505.8,High
21166,?,General,2.03,916,17.663,27.636,1.565,120.3,243.9,1259.9,1503.8,6446.9,5.1,255.86,255.86,511.71,,,243.9,1260.1,Critical
22720,Unknown,General,4.93,1088,17.635,18.194,1.032,79.2,202.6,807.9,1010.5,6436.8,8.0,398.37,398.37,796.74,10.71,3909.2,154.2,629.7,High
21891,Unknown,General,1.39,613,17.61,51.248,2.91,223.0,346.3,1523.1,1869.5,6427.7,4.2,211.0,211.0,422.0,,,346.3,1520.6,Critical
22560,TRADITIONAL MODELLING CLAY,General,1.25,580,17.605,44.482,2.527,193.6,316.8,1600.6,1917.5,6425.9,4.0,200.73,200.73,401.46,,,316.8,1603.2,Critical
21497,FANCY FONTS BIRTHDAY WRAP,General,0.42,494,17.595,35.746,2.032,155.6,278.7,2772.2,3050.9,6422.2,2.3,115.83,115.83,231.67,,,278.8,2765.0,Critical
POST,Unknown,General,41.07,1117,17.592,16.284,0.926,70.9,194.0,279.6,473.6,6421.0,23.0,1148.28,1148.28,2296.57,12.21,4456.7,156.4,232.9,Medium
44265,Unknown,General,4.19,7,17.571,17.491,0.995,76.1,199.1,875.0,1074.1,6413.6,7.3,366.49,366.49,732.99,,,199.1,874.8,Medium
22950,SET OF 36 VINTAGE CHRISTMAS DOILIES,General,1.43,272,17.562,38.532,2.194,167.7,290.6,1498.0,1788.6,6410.3,4.3,213.97,213.97,427.93,,,290.6,1497.1,Critical
21167,WHITE SAGE INCENSE,General,0.21,67,17.522,24.777,1.414,107.8,230.5,3905.1,4135.5,6395.7,1.6,81.89,81.89,163.78,,,230.5,3902.3,High
21650,ASSORTED TUTTI FRUTTI BRACELET,General,0.25,100,17.5,28.561,1.632,124.3,246.8,3543.2,3790.0,6387.5,1.8,90.14,90.14,180.28,,,246.8,3574.2,Critical
85099C,JUMBO  BAG BAROQUE BLACK WHITE,General,2.01,908,17.478,25.093,1.436,109.2,231.6,1259.4,1490.9,6379.5,5.1,253.28,253.28,506.56,,,231.5,1259.7,High
22659,LUNCH BOX I LOVE LONDON,General,1.93,751,17.434,36.823,2.112,160.3,282.3,1283.9,1566.2,6363.4,5.0,247.81,247.81,495.63,,,282.3,1284.0,Critical
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,General,2.03,1018,17.41,21.427,1.231,93.3,215.1,1249.7,1464.8,6354.5,5.1,254.24,254.24,508.49,13.93,5084.4,190.8,1119.1,High
23076,ICE CREAM SUNDAE LIP GLOSS,General,1.24,480,17.408,29.03,1.668,126.3,248.2,1601.6,1849.8,6354.0,4.0,198.37,198.37,396.73,,,248.2,1600.7,Critical
22726,Unknown,General,3.77,1003,17.4,18.597,1.069,80.9,202.7,917.2,1119.9,6350.9,6.9,346.22,346.22,692.45,8.29,3025.8,138.9,633.5,High
21929,JUMBO BAG PINK VINTAGE PAISLEY,General,2.02,897,17.342,25.731,1.484,112.0,233.4,1250.2,1483.6,6329.9,5.1,253.16,253.16,506.32,,,233.4,1251.7,High
21829,adjustment,General,0.21,278,17.324,26.277,1.517,114.4,235.6,3860.4,4096.0,6323.2,1.6,81.9,81.9,163.8,,,235.7,3880.1,Critical
23344,JUMBO BAG 50'S CHRISTMAS ,General,2.07,776,17.312,26.383,1.524,114.8,236.0,1235.3,1471.3,6318.8,5.1,255.76,255.76,511.51,,,236.0,1235.4,Critical
22578,lost,General,0.42,612,17.302,34.575,1.998,150.5,271.6,2747.7,3019.3,6315.3,2.3,114.92,114.92,229.84,,,271.6,2741.9,Critical
22539,MINI JIGSAW DOLLY GIRL,General,0.38,187,17.299,35.718,2.065,155.5,276.6,2890.7,3167.2,6314.3,2.2,109.22,109.22,218.44,,,276.6,2882.4,Critical
84992,72 SWEETHEART FAIRY CAKE CASES,General,0.55,812,17.264,55.411,3.21,241.2,362.0,2386.9,2748.9,6301.2,2.6,132.0,132.0,263.99,,,362.0,2393.4,Critical
23233,WRAP POPPIES  DESIGN,General,0.42,267,17.232,44.233,2.567,192.5,313.1,2740.8,3053.9,6289.8,2.3,114.74,114.74,229.49,,,313.1,2736.4,Critical
