product_id,product_name,category,price_elasticity,elasticity_type,current_price,recommended_price,price_adjustment_pct,action,expected_revenue_lift_pct,estimated_profit_impact_pct,confidence,r_squared,is_significant,avg_daily_qty,interpretation
22053,EMPIRE DESIGN ROSETTE,General,-15.1285,Highly Elastic,1.2175,1.137,-6.61,LOWER_PRICE,93.39,37.36,MEDIUM,0.2532,True,13.18,A 1% price increase leads to a 15.13% decrease in demand. Highly price-sensitive.
20893,damages,General,-14.7433,Highly Elastic,2.4205,2.2564,-6.78,LOWER_PRICE,93.18,37.27,HIGH,0.4202,True,10.64,A 1% price increase leads to a 14.74% decrease in demand. Highly price-sensitive.
84508A,check,General,-14.6084,Highly Elastic,2.4013,2.2368,-6.85,LOWER_PRICE,93.22,37.29,HIGH,0.31,True,16.46,A 1% price increase leads to a 14.61% decrease in demand. Highly price-sensitive.
35912B,WHITE/PINK CHICK DECORATION,General,-14.4369,Highly Elastic,1.2212,1.1366,-6.93,LOWER_PRICE,93.12,37.25,MEDIUM,0.23,True,10.57,A 1% price increase leads to a 14.44% decrease in demand. Highly price-sensitive.
23519,EMBROIDERED RIBBON REEL CLAIRE,General,-14.3104,Highly Elastic,3.6651,3.4089,-6.99,LOWER_PRICE,93.04,37.22,MEDIUM,0.1645,True,12.17,A 1% price increase leads to a 14.31% decrease in demand. Highly price-sensitive.
BANK CHARGES,Bank Charges,General,-14.1197,Highly Elastic,15.0789,14.0113,-7.08,LOWER_PRICE,92.89,37.16,LOW,0.1185,True,8.43,A 1% price increase leads to a 14.12% decrease in demand. Highly price-sensitive.
35001W,Unknown,General,-13.9009,Highly Elastic,3.3439,3.1035,-7.19,LOWER_PRICE,92.76,37.1,MEDIUM,0.2389,True,14.17,A 1% price increase leads to a 13.9% decrease in demand. Highly price-sensitive.
84592,CROCHET ROSE PURSE WITH SUEDE BACK,General,-13.8931,Highly Elastic,2.9224,2.712,-7.2,LOWER_PRICE,92.83,37.13,LOW,0.068,False,9.53,A 1% price increase leads to a 13.89% decrease in demand. Highly price-sensitive.
90160C,TURQ+RED BOUDICCA LARGE BRACELET,General,-13.1542,Highly Elastic,6.9213,6.3953,-7.6,LOWER_PRICE,92.37,36.95,LOW,0.1254,False,11.75,A 1% price increase leads to a 13.15% decrease in demand. Highly price-sensitive.
23597,PAPER BUNTING PAISLEY PARK,General,-13.1288,Highly Elastic,2.8532,2.6358,-7.62,LOWER_PRICE,92.42,36.97,MEDIUM,0.1958,True,10.9,A 1% price increase leads to a 13.13% decrease in demand. Highly price-sensitive.
21850,BLUE  DIAMANTE PEN IN GIFT BOX,General,-13.0467,Highly Elastic,4.8945,4.5196,-7.66,LOWER_PRICE,92.28,36.91,LOW,0.137,True,8.59,A 1% price increase leads to a 13.05% decrease in demand. Highly price-sensitive.
21095,Unknown,General,-12.9118,Highly Elastic,0.8541,0.788,-7.74,LOWER_PRICE,92.2,36.88,LOW,0.1119,False,8.7,A 1% price increase leads to a 12.91% decrease in demand. Highly price-sensitive.
22038,BOTANICAL LAVENDER GIFT WRAP ,General,-12.8458,Highly Elastic,0.4226,0.3897,-7.78,LOWER_PRICE,92.16,36.86,LOW,0.1474,True,16.03,A 1% price increase leads to a 12.85% decrease in demand. Highly price-sensitive.
23116,VEGETABLE GARDEN CHOPPING BOARD,General,-12.8291,Highly Elastic,4.9359,4.5514,-7.79,LOWER_PRICE,92.15,36.86,LOW,0.0924,False,8.1,A 1% price increase leads to a 12.83% decrease in demand. Highly price-sensitive.
16014,SMALL CHINESE STYLE SCISSOR,General,-12.5215,Highly Elastic,0.3947,0.3632,-7.99,LOWER_PRICE,92.06,36.82,MEDIUM,0.2492,True,75.8,A 1% price increase leads to a 12.52% decrease in demand. Highly price-sensitive.
84796B,Unknown,General,-12.4599,Highly Elastic,12.3092,11.3208,-8.03,LOWER_PRICE,92.02,36.81,MEDIUM,0.213,True,8.26,A 1% price increase leads to a 12.46% decrease in demand. Highly price-sensitive.
84760S,Unknown,General,-12.4561,Highly Elastic,1.4471,1.3309,-8.03,LOWER_PRICE,91.99,36.8,LOW,0.0546,False,10.68,A 1% price increase leads to a 12.46% decrease in demand. Highly price-sensitive.
35924,HANGING FAIRY CAKE DECORATION,General,-12.4388,Highly Elastic,1.9661,1.808,-8.04,LOWER_PRICE,91.97,36.79,HIGH,0.4342,True,12.3,A 1% price increase leads to a 12.44% decrease in demand. Highly price-sensitive.
22317,FIVE CATS HANGING DECORATION,General,-12.0743,Highly Elastic,2.948,2.7039,-8.28,LOWER_PRICE,91.7,36.68,LOW,0.1079,True,7.66,A 1% price increase leads to a 12.07% decrease in demand. Highly price-sensitive.
23565,EGG CUP MILKMAID HELGA ,General,-12.064,Highly Elastic,1.243,1.14,-8.29,LOWER_PRICE,91.72,36.69,LOW,0.1067,True,9.68,A 1% price increase leads to a 12.06% decrease in demand. Highly price-sensitive.
23017,APOTHECARY MEASURING JAR,General,-12.0467,Highly Elastic,12.3271,11.304,-8.3,LOWER_PRICE,91.69,36.68,HIGH,0.3669,True,4.78,A 1% price increase leads to a 12.05% decrease in demand. Highly price-sensitive.
85169D,PINK LOVE BIRD CANDLE,General,-12.0077,Highly Elastic,1.2182,1.1167,-8.33,LOWER_PRICE,91.69,36.68,MEDIUM,0.1879,True,12.68,A 1% price increase leads to a 12.01% decrease in demand. Highly price-sensitive.
46776E,WOVEN CANDY CUSHION COVER ,General,-11.8933,Highly Elastic,4.9965,4.5763,-8.41,LOWER_PRICE,91.61,36.64,LOW,0.1237,False,5.65,A 1% price increase leads to a 11.89% decrease in demand. Highly price-sensitive.
22830,Unknown,General,-11.5853,Highly Elastic,23.1395,21.1426,-8.63,LOWER_PRICE,91.35,36.54,HIGH,0.4946,True,11.8,A 1% price increase leads to a 11.59% decrease in demand. Highly price-sensitive.
21741,COSY SLIPPER SHOES LARGE GREEN,General,-11.5399,Highly Elastic,2.9533,2.6972,-8.67,LOWER_PRICE,91.38,36.55,LOW,0.1064,True,8.68,A 1% price increase leads to a 11.54% decrease in demand. Highly price-sensitive.
84465,Unknown,General,-11.4662,Highly Elastic,2.9369,2.6808,-8.72,LOWER_PRICE,91.27,36.51,LOW,0.0735,False,9.31,A 1% price increase leads to a 11.47% decrease in demand. Highly price-sensitive.
22197,POPCORN HOLDER,General,-11.3478,Highly Elastic,0.837,0.7633,-8.81,LOWER_PRICE,91.16,36.46,LOW,0.1062,True,34.22,A 1% price increase leads to a 11.35% decrease in demand. Highly price-sensitive.
72811,SMALL ZINC/GLASS CANDLEHOLDER,General,-11.2813,Highly Elastic,1.483,1.3516,-8.86,LOWER_PRICE,91.09,36.44,LOW,0.0851,False,8.2,A 1% price increase leads to a 11.28% decrease in demand. Highly price-sensitive.
23479,WIRE EGG BASKET ,General,-11.2584,Highly Elastic,7.684,7.0017,-8.88,LOWER_PRICE,91.09,36.44,LOW,0.1427,True,8.64,A 1% price increase leads to a 11.26% decrease in demand. Highly price-sensitive.
21190,Unknown,General,-11.1897,Highly Elastic,1.6079,1.4642,-8.94,LOWER_PRICE,91.1,36.44,LOW,0.1299,True,11.41,A 1% price increase leads to a 11.19% decrease in demand. Highly price-sensitive.
79160,HEART SHAPE WIRELESS DOORBELL,General,-11.0722,Highly Elastic,2.0361,1.8522,-9.03,LOWER_PRICE,90.95,36.38,MEDIUM,0.2111,True,9.39,A 1% price increase leads to a 11.07% decrease in demand. Highly price-sensitive.
85123A,CREAM HANGING HEART T-LIGHT HOLDER,General,-10.9986,Highly Elastic,2.8781,2.6165,-9.09,LOWER_PRICE,90.89,36.36,LOW,0.0892,True,37.21,A 1% price increase leads to a 11.0% decrease in demand. Highly price-sensitive.
22871,NUMBER TILE COTTAGE GARDEN 3 ,General,-10.9863,Highly Elastic,1.9643,1.7855,-9.1,LOWER_PRICE,90.88,36.35,LOW,0.1165,False,9.38,A 1% price increase leads to a 10.99% decrease in demand. Highly price-sensitive.
21137,Unknown,General,-10.8158,Highly Elastic,3.6132,3.279,-9.25,LOWER_PRICE,90.8,36.32,LOW,0.1012,True,21.57,A 1% price increase leads to a 10.82% decrease in demand. Highly price-sensitive.
20794,BLUE  TILE HOOK,General,-10.7611,Highly Elastic,2.5421,2.3059,-9.29,LOWER_PRICE,90.68,36.27,LOW,0.1113,True,8.28,A 1% price increase leads to a 10.76% decrease in demand. Highly price-sensitive.
20735,Unknown,General,-10.6894,Highly Elastic,0.8396,0.761,-9.36,LOWER_PRICE,90.69,36.28,LOW,0.1224,True,9.0,A 1% price increase leads to a 10.69% decrease in demand. Highly price-sensitive.
20798,Unknown,General,-10.6836,Highly Elastic,2.0944,1.8984,-9.36,LOWER_PRICE,90.64,36.26,LOW,0.0647,False,8.38,A 1% price increase leads to a 10.68% decrease in demand. Highly price-sensitive.
90063B,BLACK VINT ART DEC CRYSTAL NECKLACE,General,-10.6638,Highly Elastic,8.52,7.7208,-9.38,LOWER_PRICE,90.65,36.26,LOW,0.1009,False,7.57,A 1% price increase leads to a 10.66% decrease in demand. Highly price-sensitive.
21106,CREAM SLICE FLANNEL CHOCOLATE SPOT ,General,-10.6527,Highly Elastic,2.8657,2.5966,-9.39,LOWER_PRICE,90.64,36.26,MEDIUM,0.185,True,8.43,A 1% price increase leads to a 10.65% decrease in demand. Highly price-sensitive.
21188,3D HEARTS  HONEYCOMB PAPER GARLAND,General,-10.6441,Highly Elastic,2.9218,2.6474,-9.39,LOWER_PRICE,90.56,36.22,LOW,0.1168,True,9.56,A 1% price increase leads to a 10.64% decrease in demand. Highly price-sensitive.
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,General,-10.4627,Highly Elastic,0.8506,0.7693,-9.56,LOWER_PRICE,90.46,36.18,LOW,0.0657,False,9.44,A 1% price increase leads to a 10.46% decrease in demand. Highly price-sensitive.
23046,PAPER LANTERN 9 POINT DELUXE STAR,General,-10.4541,Highly Elastic,6.6075,5.9752,-9.57,LOWER_PRICE,90.48,36.19,LOW,0.0871,True,12.46,A 1% price increase leads to a 10.45% decrease in demand. Highly price-sensitive.
21804,dotcom,General,-10.4203,Highly Elastic,3.7166,3.3598,-9.6,LOWER_PRICE,90.43,36.17,LOW,0.1159,True,7.65,A 1% price increase leads to a 10.42% decrease in demand. Highly price-sensitive.
84800S,SMALL WHITE/PINK ROSE ART FLOWER,General,-10.2862,Highly Elastic,1.1986,1.0821,-9.72,LOWER_PRICE,90.26,36.1,MEDIUM,0.1801,False,9.29,A 1% price increase leads to a 10.29% decrease in demand. Highly price-sensitive.
23459,DOLLY CABINET 2 DRAWERS ,General,-10.2157,Highly Elastic,12.5259,11.2996,-9.79,LOWER_PRICE,90.22,36.09,LOW,0.0475,False,6.56,A 1% price increase leads to a 10.22% decrease in demand. Highly price-sensitive.
22820,GIFT BAG BIRTHDAY,General,-10.1848,Highly Elastic,0.6566,0.5921,-9.82,LOWER_PRICE,90.19,36.08,LOW,0.0871,True,9.22,A 1% price increase leads to a 10.18% decrease in demand. Highly price-sensitive.
20902,check,General,-10.1834,Highly Elastic,6.1954,5.587,-9.82,LOWER_PRICE,90.18,36.07,MEDIUM,0.1831,True,6.35,A 1% price increase leads to a 10.18% decrease in demand. Highly price-sensitive.
21357,Unknown,General,-10.0776,Highly Elastic,1.2331,1.1108,-9.92,LOWER_PRICE,90.05,36.02,LOW,0.1099,False,5.69,A 1% price increase leads to a 10.08% decrease in demand. Highly price-sensitive.
79302M,Unknown,General,-10.0615,Highly Elastic,2.8361,2.5542,-9.94,LOWER_PRICE,90.07,36.03,LOW,0.1368,True,9.2,A 1% price increase leads to a 10.06% decrease in demand. Highly price-sensitive.
44235,ASSORTED COLOURED CIRCLE MOBILE ,General,-9.8781,Highly Elastic,0.4122,0.3705,-10.12,LOWER_PRICE,89.85,35.94,LOW,0.0833,False,19.55,A 1% price increase leads to a 9.88% decrease in demand. Highly price-sensitive.
22651,GENTLEMAN SHIRT REPAIR KIT ,General,-9.7824,Highly Elastic,0.8392,0.7534,-10.22,LOWER_PRICE,89.76,35.9,LOW,0.0956,True,14.27,A 1% price increase leads to a 9.78% decrease in demand. Highly price-sensitive.
23251,ENAMEL MUG PANTRY,General,-9.7657,Highly Elastic,1.2318,1.1057,-10.24,LOWER_PRICE,89.76,35.9,LOW,0.1014,True,10.14,A 1% price increase leads to a 9.77% decrease in demand. Highly price-sensitive.
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,General,-9.7547,Highly Elastic,2.5538,2.292,-10.25,LOWER_PRICE,89.74,35.9,LOW,0.0795,True,9.58,A 1% price increase leads to a 9.75% decrease in demand. Highly price-sensitive.
35653,Unknown,General,-9.6994,Highly Elastic,2.9528,2.6484,-10.31,LOWER_PRICE,89.69,35.88,LOW,0.0466,False,10.11,A 1% price increase leads to a 9.7% decrease in demand. Highly price-sensitive.
84859B,BLUE DISCO HANDBAG,General,-9.6752,Highly Elastic,1.975,1.7708,-10.34,LOWER_PRICE,89.7,35.88,LOW,0.0298,False,12.75,A 1% price increase leads to a 9.68% decrease in demand. Highly price-sensitive.
84600,NEW BAROQUE JEWELLERY BOX ,General,-9.6577,Highly Elastic,7.9557,7.1323,-10.35,LOWER_PRICE,89.61,35.84,LOW,0.0556,False,8.05,A 1% price increase leads to a 9.66% decrease in demand. Highly price-sensitive.
23483,HANGING  BUTTERFLY T-LIGHT HOLDER,General,-9.6356,Highly Elastic,1.2264,1.0991,-10.38,LOWER_PRICE,89.64,35.86,LOW,0.1135,True,12.57,A 1% price increase leads to a 9.64% decrease in demand. Highly price-sensitive.
21644,check,General,-9.607,Highly Elastic,1.2538,1.1233,-10.41,LOWER_PRICE,89.6,35.84,LOW,0.0882,True,8.74,A 1% price increase leads to a 9.61% decrease in demand. Highly price-sensitive.
35004B,SET OF 3 BLACK FLYING DUCKS,General,-9.5327,Highly Elastic,5.1235,4.586,-10.49,LOWER_PRICE,89.51,35.8,MEDIUM,0.1958,True,8.92,A 1% price increase leads to a 9.53% decrease in demand. Highly price-sensitive.
84584,Unknown,General,-9.5321,Highly Elastic,2.55,2.2825,-10.49,LOWER_PRICE,89.5,35.8,LOW,0.0688,False,6.79,A 1% price increase leads to a 9.53% decrease in demand. Highly price-sensitive.
23527,WALL ART ANIMALS AND NATURE ,General,-9.489,Highly Elastic,3.6665,3.2801,-10.54,LOWER_PRICE,89.47,35.79,LOW,0.1427,True,10.29,A 1% price increase leads to a 9.49% decrease in demand. Highly price-sensitive.
84226,Unknown,General,-9.4677,Highly Elastic,0.7986,0.7143,-10.56,LOWER_PRICE,89.42,35.77,HIGH,0.3233,True,11.82,A 1% price increase leads to a 9.47% decrease in demand. Highly price-sensitive.
37444B,Unknown,General,-9.4508,Highly Elastic,2.916,2.6075,-10.58,LOWER_PRICE,89.41,35.76,LOW,0.0471,False,7.4,A 1% price increase leads to a 9.45% decrease in demand. Highly price-sensitive.
22353,Unknown,General,-9.4473,Highly Elastic,2.5513,2.2811,-10.59,LOWER_PRICE,89.46,35.78,LOW,0.0532,False,6.88,A 1% price increase leads to a 9.45% decrease in demand. Highly price-sensitive.
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,General,-9.4448,Highly Elastic,0.2896,0.2589,-10.59,LOWER_PRICE,89.43,35.77,LOW,0.1109,True,42.18,A 1% price increase leads to a 9.44% decrease in demand. Highly price-sensitive.
23136,IVORY WIRE SWEETHEART LETTER TRAY,General,-9.435,Highly Elastic,3.7106,3.3173,-10.6,LOWER_PRICE,89.41,35.76,LOW,0.0861,True,10.79,A 1% price increase leads to a 9.44% decrease in demand. Highly price-sensitive.
22236,CAKE STAND 3 TIER MAGIC GARDEN,General,-9.4159,Highly Elastic,12.2719,10.9686,-10.62,LOWER_PRICE,89.38,35.75,LOW,0.1384,True,7.46,A 1% price increase leads to a 9.42% decrease in demand. Highly price-sensitive.
23310,BUBBLEGUM RING ASSORTED,General,-9.3795,Highly Elastic,0.4293,0.3835,-10.66,LOWER_PRICE,89.33,35.73,LOW,0.0632,True,18.57,A 1% price increase leads to a 9.38% decrease in demand. Highly price-sensitive.
20886,Unknown,General,-9.3788,Highly Elastic,1.9371,1.7306,-10.66,LOWER_PRICE,89.32,35.73,LOW,0.0861,True,9.14,A 1% price increase leads to a 9.38% decrease in demand. Highly price-sensitive.
85099B,JUMBO BAG RED RETROSPOT,General,-9.3674,Highly Elastic,2.0052,1.791,-10.68,LOWER_PRICE,89.36,35.74,LOW,0.0745,True,36.87,A 1% price increase leads to a 9.37% decrease in demand. Highly price-sensitive.
21026,SPACE OWL,General,-9.3564,Highly Elastic,1.2339,1.102,-10.69,LOWER_PRICE,89.33,35.73,LOW,0.0839,True,7.93,A 1% price increase leads to a 9.36% decrease in demand. Highly price-sensitive.
85208,check,General,-9.2896,Highly Elastic,2.0761,1.8527,-10.76,LOWER_PRICE,89.2,35.68,LOW,0.0858,True,9.0,A 1% price increase leads to a 9.29% decrease in demand. Highly price-sensitive.
22833,Unknown,General,-9.2833,Highly Elastic,45.3916,40.5029,-10.77,LOWER_PRICE,89.21,35.68,HIGH,0.4333,True,10.4,A 1% price increase leads to a 9.28% decrease in demand. Highly price-sensitive.
17096,Unknown,General,-9.2757,Highly Elastic,0.1996,0.1781,-10.78,LOWER_PRICE,89.21,35.68,LOW,0.0894,False,77.93,A 1% price increase leads to a 9.28% decrease in demand. Highly price-sensitive.
90198A,VINTAGE ROSE BEAD BRACELET RASPBERR,General,-9.1972,Highly Elastic,4.2708,3.8066,-10.87,LOWER_PRICE,89.1,35.64,LOW,0.1424,False,6.75,A 1% price increase leads to a 9.2% decrease in demand. Highly price-sensitive.
23022,SMALL BONNE JAM JAR  T-LIGHT HOLDER,General,-9.1868,Highly Elastic,2.0297,1.8087,-10.89,LOWER_PRICE,89.15,35.66,LOW,0.0965,False,11.49,A 1% price increase leads to a 9.19% decrease in demand. Highly price-sensitive.
71459,HANGING JAM JAR T-LIGHT HOLDERS,General,-9.0817,Highly Elastic,0.8231,0.7325,-11.01,LOWER_PRICE,88.98,35.59,LOW,0.089,True,19.63,A 1% price increase leads to a 9.08% decrease in demand. Highly price-sensitive.
84989A,Unknown,General,-9.0766,Highly Elastic,0.5482,0.4878,-11.02,LOWER_PRICE,89.0,35.6,LOW,0.0516,False,8.33,A 1% price increase leads to a 9.08% decrease in demand. Highly price-sensitive.
23157,check,General,-9.0238,Highly Elastic,2.1341,1.8976,-11.08,LOWER_PRICE,88.9,35.56,LOW,0.077,True,13.12,A 1% price increase leads to a 9.02% decrease in demand. Highly price-sensitive.
37476,Unknown,General,-8.9869,Highly Elastic,9.5773,8.5113,-11.13,LOWER_PRICE,88.89,35.56,LOW,0.0949,False,7.74,A 1% price increase leads to a 8.99% decrease in demand. Highly price-sensitive.
40003,Unknown,General,-8.9478,Highly Elastic,1.1912,1.058,-11.18,LOWER_PRICE,88.86,35.54,MEDIUM,0.2006,True,12.17,A 1% price increase leads to a 8.95% decrease in demand. Highly price-sensitive.
85163A,WHITE BAROQUE WALL CLOCK ,General,-8.9137,Highly Elastic,12.755,11.3239,-11.22,LOWER_PRICE,88.79,35.52,LOW,0.0531,False,8.59,A 1% price increase leads to a 8.91% decrease in demand. Highly price-sensitive.
84459B,Unknown,General,-8.8984,Highly Elastic,1.4927,1.3249,-11.24,LOWER_PRICE,88.78,35.51,LOW,0.0561,True,9.08,A 1% price increase leads to a 8.9% decrease in demand. Highly price-sensitive.
35004C,Unknown,General,-8.7984,Highly Elastic,5.2752,4.6754,-11.37,LOWER_PRICE,88.67,35.47,LOW,0.113,True,9.22,A 1% price increase leads to a 8.8% decrease in demand. Highly price-sensitive.
85099F,Unknown,General,-8.7447,Highly Elastic,1.9963,1.7679,-11.44,LOWER_PRICE,88.6,35.44,LOW,0.0909,True,20.13,A 1% price increase leads to a 8.74% decrease in demand. Highly price-sensitive.
90184C,BLACK CHUNKY BEAD BRACELET W STRAP,General,-8.7338,Highly Elastic,8.8868,7.8693,-11.45,LOWER_PRICE,88.55,35.42,LOW,0.0645,False,6.1,A 1% price increase leads to a 8.73% decrease in demand. Highly price-sensitive.
21846,PINK DIAMANTE PEN IN GIFT BOX,General,-8.7054,Highly Elastic,4.84,4.2839,-11.49,LOWER_PRICE,88.54,35.42,LOW,0.0684,False,9.47,A 1% price increase leads to a 8.71% decrease in demand. Highly price-sensitive.
84946,ANTIQUE SILVER T-LIGHT GLASS,General,-8.6571,Highly Elastic,1.2317,1.0894,-11.55,LOWER_PRICE,88.44,35.38,LOW,0.0716,True,21.18,A 1% price increase leads to a 8.66% decrease in demand. Highly price-sensitive.
21864,UNION JACK FLAG PASSPORT COVER ,General,-8.6568,Highly Elastic,2.074,1.8345,-11.55,LOWER_PRICE,88.44,35.38,LOW,0.0811,True,10.67,A 1% price increase leads to a 8.66% decrease in demand. Highly price-sensitive.
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,General,-8.6516,Highly Elastic,1.6174,1.4304,-11.56,LOWER_PRICE,88.45,35.38,LOW,0.0724,False,12.41,A 1% price increase leads to a 8.65% decrease in demand. Highly price-sensitive.
21657,MILK BOTTLE WITH GLASS STOPPER ,General,-8.6316,Highly Elastic,6.9494,6.144,-11.59,LOWER_PRICE,88.45,35.38,LOW,0.0839,False,6.62,A 1% price increase leads to a 8.63% decrease in demand. Highly price-sensitive.
23523,WALL ART TREASURE AHOY ,General,-8.6301,Highly Elastic,3.6565,3.2327,-11.59,LOWER_PRICE,88.43,35.37,LOW,0.1093,True,10.75,A 1% price increase leads to a 8.63% decrease in demand. Highly price-sensitive.
22710,WRAP I LOVE LONDON ,General,-8.6272,Highly Elastic,0.4173,0.3689,-11.59,LOWER_PRICE,88.4,35.36,LOW,0.0649,True,15.72,A 1% price increase leads to a 8.63% decrease in demand. Highly price-sensitive.
22688,Unknown,General,-8.6225,Highly Elastic,7.9413,7.0201,-11.6,LOWER_PRICE,88.42,35.37,LOW,0.1031,True,8.02,A 1% price increase leads to a 8.62% decrease in demand. Highly price-sensitive.
84051,ASS COLOUR GLOWING TIARAS,General,-8.5951,Highly Elastic,0.8261,0.73,-11.63,LOWER_PRICE,88.33,35.33,MEDIUM,0.1612,True,9.89,A 1% price increase leads to a 8.6% decrease in demand. Highly price-sensitive.
22882,NUMBER TILE VINTAGE FONT 3,General,-8.584,Highly Elastic,1.8026,1.5926,-11.65,LOWER_PRICE,88.35,35.34,MEDIUM,0.2042,True,7.82,A 1% price increase leads to a 8.58% decrease in demand. Highly price-sensitive.
16156L,WRAP CAROUSEL,General,-8.5647,Highly Elastic,0.4193,0.3703,-11.68,LOWER_PRICE,88.36,35.34,LOW,0.0541,False,13.22,A 1% price increase leads to a 8.56% decrease in demand. Highly price-sensitive.
85064,Unknown,General,-8.5557,Highly Elastic,5.3631,4.7362,-11.69,LOWER_PRICE,88.33,35.33,MEDIUM,0.172,True,11.24,A 1% price increase leads to a 8.56% decrease in demand. Highly price-sensitive.
22779,WOODEN OWLS LIGHT GARLAND ,General,-8.5203,Highly Elastic,4.1662,3.6771,-11.74,LOWER_PRICE,88.29,35.32,LOW,0.0959,True,11.97,A 1% price increase leads to a 8.52% decrease in demand. Highly price-sensitive.
72131,COLUMBIAN CANDLE RECTANGLE,General,-8.5066,Highly Elastic,1.9042,1.6803,-11.76,LOWER_PRICE,88.28,35.31,LOW,0.0734,False,8.86,A 1% price increase leads to a 8.51% decrease in demand. Highly price-sensitive.
22935,BAKING MOULD ROSE MILK CHOCOLATE,General,-8.4788,Highly Elastic,3.1229,2.7547,-11.79,LOWER_PRICE,88.18,35.27,LOW,0.1116,True,10.54,A 1% price increase leads to a 8.48% decrease in demand. Highly price-sensitive.
22560,TRADITIONAL MODELLING CLAY,General,-8.47,Highly Elastic,1.254,1.1059,-11.81,LOWER_PRICE,88.22,35.29,LOW,0.0846,True,17.61,A 1% price increase leads to a 8.47% decrease in demand. Highly price-sensitive.
22988,Unknown,General,-8.467,Highly Elastic,1.2532,1.1052,-11.81,LOWER_PRICE,88.19,35.28,LOW,0.0719,True,14.62,A 1% price increase leads to a 8.47% decrease in demand. Highly price-sensitive.
20763,DAISY SKETCHBOOK ,General,-8.4559,Highly Elastic,3.7459,3.3028,-11.83,LOWER_PRICE,88.2,35.28,LOW,0.0482,False,8.77,A 1% price increase leads to a 8.46% decrease in demand. Highly price-sensitive.
90175A,WHITE GLASS CHUNKY CHARM BRACELET,General,-8.4463,Highly Elastic,8.9077,7.853,-11.84,LOWER_PRICE,88.16,35.26,LOW,0.0583,False,9.88,A 1% price increase leads to a 8.45% decrease in demand. Highly price-sensitive.
21333,CLASSIC WHITE FRAME,General,-8.4272,Highly Elastic,2.9536,2.603,-11.87,LOWER_PRICE,88.16,35.26,LOW,0.0947,True,7.36,A 1% price increase leads to a 8.43% decrease in demand. Highly price-sensitive.
23309,SET OF 60 I LOVE LONDON CAKE CASES ,General,-8.4206,Highly Elastic,0.5591,0.4927,-11.88,LOWER_PRICE,88.16,35.26,LOW,0.1187,True,17.74,A 1% price increase leads to a 8.42% decrease in demand. Highly price-sensitive.
22073,Unknown,General,-8.3939,Highly Elastic,3.6803,3.242,-11.91,LOWER_PRICE,88.06,35.22,LOW,0.0877,True,8.5,A 1% price increase leads to a 8.39% decrease in demand. Highly price-sensitive.
