store_key,store_id,store_name,country,tier,rank,total_revenue,total_txns,total_units,unique_customers,unique_products,avg_order_value,revenue_per_unit,revenue_per_day,market_share_pct,cumulative_share,first_sale,last_sale,active_days,best_month_year,best_month_month,best_month_revenue
64,64,USA Store,USA,C,21,21515.98,883,8551,38,646,24.37,2.52,12.22,0.09,99.58,2011-02-12,2015-12-08,1761,2012,8,3278.41
47,47,Iceland Store,Iceland,C,22,20314.92,811,7587,30,599,25.05,2.68,10.4,0.08,99.66,2010-07-12,2015-11-16,1954,2015,7,3863.93
54,54,Greece Store,Greece,C,23,16792.21,615,5551,24,506,27.3,3.03,9.74,0.07,99.73,2011-04-03,2015-12-21,1724,2014,6,2098.85
57,57,United Arab Emirates Store,United Arab Emirates,C,24,12737.67,484,4456,12,404,26.32,2.86,7.01,0.05,99.78,2011-01-09,2015-12-29,1816,2013,5,3358.23
55,55,Singapore Store,Singapore,C,25,12589.98,320,3960,14,288,39.34,3.18,7.32,0.05,99.83,2011-04-04,2015-12-19,1721,2014,12,3382.89
61,61,Canada Store,Canada,C,26,12344.46,445,4914,18,374,27.74,2.51,7.27,0.05,99.88,2011-04-05,2015-11-28,1699,2013,11,2463.88
62,62,Unspecified Store,Unspecified,C,27,9948.59,419,4070,16,361,23.74,2.44,7.05,0.04,99.92,2011-10-05,2015-08-15,1411,2015,4,3510.43
67,67,Malta Store,Malta,C,28,8473.01,307,3056,12,262,27.6,2.77,5.73,0.03,99.95,2011-08-06,2015-08-24,1480,2013,4,2431.74
45,45,Lithuania Store,Lithuania,C,29,4694.8,123,1560,9,116,38.17,3.01,2.44,0.02,99.97,2010-05-12,2015-08-17,1924,2010,5,1346.66
58,58,Israel Store,Israel,C,30,3540.09,138,1209,7,133,25.65,2.93,2.11,0.01,99.98,2011-04-10,2015-11-12,1678,2012,1,1517.8
65,65,European Community Store,European Community,C,31,1641.76,63,485,5,63,26.06,3.39,1.14,0.01,99.99,2011-05-06,2015-04-15,1441,2012,10,671.45
60,60,Czech Republic Store,Czech Republic,C,32,1393.42,54,670,4,54,25.8,2.08,1.24,0.01,100.0,2011-07-10,2014-08-05,1123,2014,8,730.02
66,66,Bahrain Store,Bahrain,C,33,941.67,19,321,2,19,49.56,2.93,3.09,0.0,100.0,2011-09-05,2012-07-05,305,2012,7,482.27
