customer_id,customer_name,state,city,last_purchase_date,frequency,monetary,recency,r_score,f_score,m_score,rfm_score,rfm_value,segment
12461,Unknown,Switzerland,,2011-08-07,35,826.88,5309,3,3,4,334,3.3333333333333335,Recent Customers
12462,Unknown,Spain,,2011-09-02,40,762.11,5283,3,4,4,344,3.6666666666666665,Potential Loyalists
12463,Unknown,Belgium,,2011-12-04,20,350.57,5190,5,2,3,523,3.3333333333333335,Recent Customers
12464,Unknown,Belgium,,2011-03-02,6,213.9,5467,1,1,2,112,1.3333333333333333,At Risk
12468,Unknown,Germany,,2011-05-06,26,508.95,5402,2,3,3,233,2.6666666666666665,Promising
12471,Unknown,Germany,,2011-07-12,221,10274.57,5335,3,5,5,355,4.333333333333333,Loyal Customers
12472,Unknown,Germany,,2011-07-11,80,1899.38,5336,3,5,5,355,4.333333333333333,Loyal Customers
12473,Unknown,Germany,,2011-10-11,35,702.15,5244,4,3,4,434,3.6666666666666665,Potential Loyalists
12474,Unknown,Germany,,2011-12-07,67,1179.64,5187,5,4,4,544,4.333333333333333,Loyal Customers
12476,Unknown,Germany,,2011-05-05,3,311.2,5403,2,1,2,212,1.6666666666666667,About to Sleep
12477,Unknown,Germany,,2011-11-02,76,3415.19,5222,4,5,5,455,4.666666666666667,Champions
12478,Unknown,Greece,,2011-06-12,36,680.99,5365,2,3,4,234,3.0,Recent Customers
12480,Unknown,Germany,,2011-11-11,82,1952.93,5213,5,5,5,555,5.0,Champions
12481,Unknown,Germany,,2011-07-01,82,2070.23,5346,2,5,5,255,4.0,Loyal Customers
12483,Unknown,Sweden,,2011-11-05,39,1185.46,5219,4,4,4,444,4.0,Loyal Customers
12484,Unknown,Spain,,2011-07-11,154,1948.9,5336,3,5,5,355,4.333333333333333,Loyal Customers
12489,Unknown,France,,2011-07-01,15,334.93,5346,2,2,2,222,2.0,Need Attention
12490,Unknown,France,,2011-09-05,107,2463.06,5280,3,5,5,355,4.333333333333333,Loyal Customers
12491,Unknown,France,,2011-01-11,25,413.6,5517,1,3,3,133,2.3333333333333335,Need Attention
12492,Unknown,Germany,,2011-07-10,11,136.82,5337,3,2,1,321,2.0,Need Attention
12494,Unknown,France,,2011-01-07,13,210.82,5521,1,2,2,122,1.6666666666666667,About to Sleep
12500,Unknown,Germany,,2011-10-01,17,745.03,5254,4,2,4,424,3.3333333333333335,Recent Customers
12501,Unknown,Germany,,2011-07-01,149,2169.39,5346,2,5,5,255,4.0,Loyal Customers
12502,Unknown,Spain,,2011-06-05,116,3021.07,5372,2,5,5,255,4.0,Loyal Customers
12504,Unknown,Germany,,2011-09-11,6,449.4,5274,4,1,3,413,2.6666666666666665,Promising
12507,Unknown,Spain,,2011-07-07,1,46.75,5340,3,1,1,311,1.6666666666666667,About to Sleep
12508,Unknown,France,,2011-10-11,47,267.28,5244,4,4,2,442,3.3333333333333335,Recent Customers
12512,Unknown,Israel,,2011-04-10,31,132.18,5428,2,3,1,231,2.0,Need Attention
12516,Unknown,Germany,,2011-12-06,13,583.2,5188,5,2,3,523,3.3333333333333335,Recent Customers
12517,Unknown,Germany,,2011-11-11,248,2031.26,5213,5,5,5,555,5.0,Champions
12518,Unknown,Germany,,2011-12-10,73,1207.16,5184,5,4,4,544,4.333333333333333,Loyal Customers
12519,Unknown,Germany,,2011-07-10,17,330.84,5337,3,2,2,322,2.3333333333333335,Need Attention
12520,Unknown,Germany,,2011-11-03,60,987.42,5221,4,4,4,444,4.0,Loyal Customers
12523,Unknown,France,,2011-12-01,24,398.7,5193,5,3,3,533,3.6666666666666665,Potential Loyalists
12524,Unknown,Germany,,2011-10-01,96,2962.6,5254,4,5,5,455,4.666666666666667,Champions
12526,Unknown,Germany,,2011-09-12,42,797.38,5273,4,4,4,444,4.0,Loyal Customers
12528,Unknown,Germany,,2011-08-03,28,552.64,5313,3,3,3,333,3.0,Recent Customers
12530,Unknown,Germany,,2011-11-10,52,1244.68,5214,5,4,4,544,4.333333333333333,Loyal Customers
12532,Unknown,France,,2011-09-11,16,349.83,5274,4,2,3,423,3.0,Recent Customers
12534,Unknown,Germany,,2011-01-08,63,1089.18,5520,1,4,4,144,3.0,Recent Customers
12535,Unknown,France,,2011-09-09,34,716.35,5276,4,3,4,434,3.6666666666666665,Potential Loyalists
12536,Unknown,France,,2011-11-10,259,4279.71,5214,5,5,5,555,5.0,Champions
12538,Unknown,Spain,,2011-10-11,21,363.95,5244,4,2,3,423,3.0,Recent Customers
12539,Unknown,Spain,,2011-10-01,93,1715.85,5254,4,5,5,455,4.666666666666667,Champions
12540,Unknown,Spain,,2011-11-01,201,5047.38,5223,4,5,5,455,4.666666666666667,Champions
12541,Unknown,Spain,,2011-10-11,41,757.44,5244,4,4,4,444,4.0,Loyal Customers
12544,Unknown,Spain,,2011-03-11,19,372.7,5458,1,2,3,123,2.0,Need Attention
12547,Unknown,Spain,,2011-04-03,6,159.4,5435,1,1,1,111,1.0,At Risk
12552,Unknown,Italy,,2011-01-11,1,120.0,5517,1,1,1,111,1.0,At Risk
12553,Unknown,France,,2011-12-10,65,1356.57,5184,5,4,5,545,4.666666666666667,Champions
12556,Unknown,Spain,,2011-11-07,60,294.25,5217,5,4,2,542,3.6666666666666665,Potential Loyalists
12557,Unknown,Spain,,2011-11-01,24,8183.46,5223,4,3,5,435,4.0,Loyal Customers
12558,Unknown,USA,,2011-02-12,11,269.96,5485,1,2,2,122,1.6666666666666667,About to Sleep
12559,Unknown,Germany,,2011-02-02,1,75.6,5495,1,1,1,111,1.0,At Risk
12560,Unknown,Germany,,2011-04-12,28,697.7,5426,2,3,4,234,3.0,Recent Customers
12561,Unknown,Germany,,2011-10-02,16,238.85,5253,4,2,2,422,2.6666666666666665,Promising
12562,Unknown,France,,2011-05-08,51,1304.37,5400,2,4,5,245,3.6666666666666665,Potential Loyalists
12567,Unknown,France,,2011-08-06,213,4357.27,5310,3,5,5,355,4.333333333333333,Loyal Customers
12569,Unknown,Germany,,2011-12-10,110,2480.95,5184,5,5,5,555,5.0,Champions
12571,Unknown,France,,2011-10-08,14,248.35,5247,4,2,2,422,2.6666666666666665,Promising
12572,Unknown,Germany,,2011-01-12,24,487.68,5516,1,3,3,133,2.3333333333333335,Need Attention
12576,Unknown,Poland,,2011-08-02,72,1076.63,5314,3,4,4,344,3.6666666666666665,Potential Loyalists
12577,Unknown,France,,2011-04-11,75,415.56,5427,2,5,3,253,3.3333333333333335,Recent Customers
12580,Unknown,Germany,,2011-07-04,24,415.7,5343,2,3,3,233,2.6666666666666665,Promising
12583,Unknown,France,,2011-12-10,152,5093.27,5184,5,5,5,555,5.0,Champions
12584,Unknown,Italy,,2011-07-06,36,835.94,5341,3,3,4,334,3.3333333333333335,Recent Customers
12587,Unknown,Finland,,2011-02-12,4,144.0,5485,1,1,1,111,1.0,At Risk
12589,Unknown,France,,2011-11-11,25,515.18,5213,5,3,3,533,3.6666666666666665,Potential Loyalists
12590,Unknown,Germany,,2011-12-05,68,9864.26,5189,5,4,5,545,4.666666666666667,Champions
12592,Unknown,Germany,,2011-10-05,18,437.6,5250,4,2,3,423,3.0,Recent Customers
12593,Unknown,France,,2011-05-05,16,321.8,5403,2,2,2,222,2.0,Need Attention
12594,Unknown,Italy,,2011-10-08,24,850.83,5247,4,3,4,434,3.6666666666666665,Potential Loyalists
12596,Unknown,Spain,,2011-11-04,15,269.95,5220,4,2,2,422,2.6666666666666665,Promising
12597,Unknown,Spain,,2011-09-06,48,912.66,5279,3,4,4,344,3.6666666666666665,Potential Loyalists
12598,Unknown,France,,2011-11-11,51,1200.32,5213,5,4,4,544,4.333333333333333,Loyal Customers
12599,Unknown,France,,2011-11-07,39,636.3,5217,5,4,3,543,4.0,Loyal Customers
12600,Unknown,Germany,,2011-11-11,19,884.02,5213,5,2,4,524,3.6666666666666665,Potential Loyalists
12601,Unknown,Germany,,2011-11-01,19,325.46,5223,4,2,2,422,2.6666666666666665,Promising
12602,Unknown,France,,2011-12-10,12,153.12,5184,5,2,1,521,2.6666666666666665,Promising
12607,Unknown,USA,,2011-10-10,101,1579.51,5245,4,5,5,455,4.666666666666667,Champions
12609,Unknown,Germany,,2011-06-06,27,512.8,5371,2,3,3,233,2.6666666666666665,Promising
12610,Unknown,Italy,,2011-05-08,54,946.75,5400,2,4,4,244,3.3333333333333335,Recent Customers
12614,Unknown,Germany,,2011-07-03,20,315.6,5344,2,2,2,222,2.0,Need Attention
12615,Unknown,France,,2011-07-12,45,1079.8,5335,3,4,4,344,3.6666666666666665,Potential Loyalists
12616,Unknown,France,,2011-05-09,21,457.7,5399,2,2,3,223,2.3333333333333335,Need Attention
12617,Unknown,France,,2011-10-11,39,341.63,5244,4,4,2,442,3.3333333333333335,Recent Customers
12619,Unknown,Germany,,2011-06-11,15,871.84,5366,2,2,4,224,2.6666666666666665,Promising
12621,Unknown,Germany,,2011-12-05,150,3388.34,5189,5,5,5,555,5.0,Champions
12623,Unknown,Germany,,2011-08-03,18,305.1,5313,3,2,2,322,2.3333333333333335,Need Attention
12625,Unknown,Germany,,2011-12-05,33,967.2,5189,5,3,4,534,4.0,Loyal Customers
12626,Unknown,Germany,,2011-06-10,106,2440.39,5367,2,5,5,255,4.0,Loyal Customers
12627,Unknown,Germany,,2011-06-10,125,2441.14,5367,2,5,5,255,4.0,Loyal Customers
12628,Unknown,Germany,,2011-06-11,41,786.46,5366,2,4,4,244,3.3333333333333335,Recent Customers
12633,Unknown,Germany,,2011-12-10,29,434.43,5184,5,3,3,533,3.6666666666666665,Potential Loyalists
12635,Unknown,Germany,,2011-11-09,101,1689.18,5215,5,5,5,555,5.0,Champions
12637,Unknown,France,,2011-09-09,232,3606.76,5276,4,5,5,455,4.666666666666667,Champions
12638,Unknown,Sweden,,2011-06-11,39,671.69,5366,2,4,4,244,3.3333333333333335,Recent Customers
12643,Unknown,France,,2011-11-01,21,3092.14,5223,4,2,5,425,3.6666666666666665,Potential Loyalists
12644,Unknown,Germany,,2011-02-08,31,477.91,5489,1,3,3,133,2.3333333333333335,Need Attention
12645,Unknown,Germany,,2011-06-11,34,893.92,5366,2,3,4,234,3.0,Recent Customers
12646,Unknown,USA,,2011-05-12,21,615.28,5396,2,2,3,223,2.3333333333333335,Need Attention
12647,Unknown,Germany,,2011-11-09,80,2242.07,5215,5,5,5,555,5.0,Champions
12648,Unknown,Germany,,2011-08-07,21,318.05,5309,3,2,2,322,2.3333333333333335,Need Attention
12649,Unknown,Germany,,2011-11-05,17,375.0,5219,4,2,3,423,3.0,Recent Customers
12650,Unknown,France,,2011-06-12,20,314.44,5365,2,2,2,222,2.0,Need Attention
12651,Unknown,France,,2011-09-01,9,114.0,5284,3,1,1,311,1.6666666666666667,About to Sleep
12652,Unknown,France,,2011-12-01,48,919.98,5193,5,4,4,544,4.333333333333333,Loyal Customers
12654,Unknown,Germany,,2011-02-11,11,171.23,5486,1,2,1,121,1.3333333333333333,At Risk
12659,Unknown,France,,2011-10-11,5,91.68,5244,4,1,1,411,2.0,Need Attention
12662,Unknown,Germany,,2011-09-12,97,1618.21,5273,4,5,5,455,4.666666666666667,Champions
12664,Unknown,Finland,,2011-12-10,13,2294.8,5184,5,2,5,525,4.0,Loyal Customers
12667,Unknown,Finland,,2011-12-10,33,620.13,5184,5,3,3,533,3.6666666666666665,Potential Loyalists
12669,Unknown,France,,2011-12-07,32,1607.73,5187,5,3,5,535,4.333333333333333,Loyal Customers
12670,Unknown,France,,2011-10-11,43,1273.54,5244,4,4,4,444,4.0,Loyal Customers
12673,Unknown,Germany,,2011-04-12,19,389.62,5426,2,2,3,223,2.3333333333333335,Need Attention
12674,Unknown,France,,2011-09-09,46,993.8,5276,4,4,4,444,4.0,Loyal Customers
12676,Unknown,Sweden,,2011-08-08,23,800.15,5308,3,3,4,334,3.3333333333333335,Recent Customers
12678,Unknown,France,,2011-05-06,19,2073.52,5402,2,2,5,225,3.0,Recent Customers
12679,Unknown,France,,2011-12-10,44,906.38,5184,5,4,4,544,4.333333333333333,Loyal Customers
12680,Unknown,France,,2011-11-09,22,361.83,5215,5,3,3,533,3.6666666666666665,Potential Loyalists
12681,Unknown,France,,2011-11-07,258,5368.29,5217,5,5,5,555,5.0,Champions
12682,Unknown,France,,2011-12-08,315,7207.68,5186,5,5,5,555,5.0,Champions
12683,Unknown,France,,2011-12-05,190,4105.9,5189,5,5,5,555,5.0,Champions
12684,Unknown,France,,2011-10-05,47,916.26,5250,4,4,4,444,4.0,Loyal Customers
12685,Unknown,France,,2011-11-11,112,2019.54,5213,5,5,5,555,5.0,Champions
12686,Unknown,France,,2010-03-12,7,89.14,5822,1,1,1,111,1.0,At Risk
12689,Unknown,France,,2011-04-08,34,511.03,5430,2,3,3,233,2.6666666666666665,Promising
12691,Unknown,France,,2011-12-10,11,479.5,5184,5,2,3,523,3.3333333333333335,Recent Customers
12693,Unknown,Germany,,2011-12-05,19,454.01,5189,5,2,3,523,3.3333333333333335,Recent Customers
12694,Unknown,France,,2011-09-06,20,439.5,5279,3,2,3,323,2.6666666666666665,Promising
12695,Unknown,France,,2011-04-10,8,248.2,5428,2,1,2,212,1.6666666666666667,About to Sleep
12697,Unknown,Sweden,,2011-11-11,12,223.68,5213,5,2,2,522,3.0,Recent Customers
12700,Unknown,France,,2011-08-05,268,4939.99,5311,3,5,5,355,4.333333333333333,Loyal Customers
12701,Unknown,Germany,,2011-11-04,21,337.08,5220,4,2,2,422,2.6666666666666665,Promising
12704,Unknown,Finland,,2011-04-11,32,1120.85,5427,2,3,4,234,3.0,Recent Customers
12705,Unknown,Germany,,2011-08-04,123,2319.67,5312,3,5,5,355,4.333333333333333,Loyal Customers
12708,Unknown,Germany,,2011-10-11,50,792.87,5244,4,4,4,444,4.0,Loyal Customers
12709,Unknown,Germany,,2011-12-10,108,4051.34,5184,5,5,5,555,5.0,Champions
12710,Unknown,Germany,,2011-04-09,33,430.06,5429,2,3,3,233,2.6666666666666665,Promising
12712,Unknown,Germany,,2011-12-01,85,2680.03,5193,5,5,5,555,5.0,Champions
12713,Unknown,Germany,,2011-09-12,38,848.55,5273,4,3,4,434,3.6666666666666665,Potential Loyalists
12716,Unknown,France,,2011-06-12,24,375.59,5365,2,3,3,233,2.6666666666666665,Promising
12717,Unknown,Greece,,2011-11-07,55,1030.98,5217,5,4,4,544,4.333333333333333,Loyal Customers
12719,Unknown,France,,2011-05-10,39,644.95,5398,2,4,4,244,3.3333333333333335,Recent Customers
12720,Unknown,Germany,,2011-12-07,189,3029.32,5187,5,5,5,555,5.0,Champions
12721,Unknown,France,,2011-09-06,122,2026.63,5279,3,5,5,355,4.333333333333333,Loyal Customers
12722,Unknown,France,,2011-12-07,19,302.92,5187,5,2,2,522,3.0,Recent Customers
12723,Unknown,France,,2011-06-12,40,342.79,5365,2,4,2,242,2.6666666666666665,Promising
12724,Unknown,France,,2011-11-01,19,363.14,5223,4,2,3,423,3.0,Recent Customers
12725,Unknown,Italy,,2010-03-12,24,427.8,5822,1,3,3,133,2.3333333333333335,Need Attention
12726,Unknown,France,,2011-11-11,63,1363.9,5213,5,4,5,545,4.666666666666667,Champions
12727,Unknown,France,,2011-05-09,55,1885.54,5399,2,4,5,245,3.6666666666666665,Potential Loyalists
12728,Unknown,France,,2011-11-01,13,252.54,5223,4,2,2,422,2.6666666666666665,Promising
12731,Unknown,France,,2011-11-05,42,2705.2,5219,4,4,5,445,4.333333333333333,Loyal Customers
12735,Unknown,France,,2011-06-01,22,319.77,5376,2,3,2,232,2.3333333333333335,Need Attention
12736,Unknown,France,,2011-11-01,4,234.0,5223,4,1,2,412,2.3333333333333335,Need Attention
12738,Unknown,Germany,,2010-02-12,11,155.35,5850,1,2,1,121,1.3333333333333333,At Risk
12739,Unknown,United Arab Emirates,,2011-01-09,37,975.54,5519,1,3,4,134,2.6666666666666665,Promising
12740,Unknown,France,,2011-07-10,27,427.6,5337,3,3,3,333,3.0,Recent Customers
12744,Unknown,Singapore,,2011-05-04,53,2281.34,5404,2,4,5,245,3.6666666666666665,Potential Loyalists
12747,Unknown,United Kingdom,,2011-07-12,50,2226.18,5335,3,4,5,345,4.0,Loyal Customers
12748,Unknown,United Kingdom,,2011-12-05,1905,12993.06,5189,5,5,5,555,5.0,Champions
12749,Unknown,United Kingdom,,2011-10-05,166,3488.59,5250,4,5,5,455,4.666666666666667,Champions
12750,Unknown,Poland,,2011-03-08,15,275.88,5461,1,2,2,122,1.6666666666666667,About to Sleep
12753,Unknown,Japan,,2011-09-02,129,12940.51,5283,3,5,5,355,4.333333333333333,Loyal Customers
12754,Unknown,Japan,,2011-07-03,49,61.62,5344,2,4,1,241,2.3333333333333335,Need Attention
12755,Unknown,Japan,,2011-04-03,4,3811.95,5435,1,1,5,115,2.3333333333333335,Need Attention
12757,Unknown,Portugal,,2011-12-05,268,3228.07,5189,5,5,5,555,5.0,Champions
12758,Unknown,Portugal,,2011-08-03,56,1570.19,5313,3,4,5,345,4.0,Loyal Customers
12759,Unknown,Netherlands,,2011-09-03,27,444.8,5282,3,3,3,333,3.0,Recent Customers
12762,Unknown,Portugal,,2011-02-12,48,1436.93,5485,1,4,5,145,3.3333333333333335,Recent Customers
12763,Unknown,Japan,,2010-05-12,16,320.08,5761,1,2,2,122,1.6666666666666667,About to Sleep
12766,Unknown,Portugal,,2011-09-01,110,2554.2,5284,3,5,5,355,4.333333333333333,Loyal Customers
12772,Unknown,Portugal,,2011-11-10,55,892.47,5214,5,4,4,544,4.333333333333333,Loyal Customers
12775,Unknown,Netherlands,,2011-03-06,27,634.25,5463,1,3,3,133,2.3333333333333335,Need Attention
12778,Unknown,Netherlands,,2011-09-06,16,255.93,5279,3,2,2,322,2.3333333333333335,Need Attention
12779,Unknown,Poland,,2011-05-04,88,2298.15,5404,2,5,5,255,4.0,Loyal Customers
12781,Unknown,Czech Republic,,2011-07-10,10,277.48,5337,3,1,2,312,2.0,Need Attention
12782,Unknown,Portugal,,2011-05-12,14,252.25,5396,2,2,2,222,2.0,Need Attention
12783,Unknown,Portugal,,2011-07-12,30,622.84,5335,3,3,3,333,3.0,Recent Customers
12785,Unknown,Portugal,,2010-10-12,14,311.95,5608,1,2,2,122,1.6666666666666667,About to Sleep
12787,Unknown,Netherlands,,2011-09-09,8,186.56,5276,4,1,1,411,2.0,Need Attention
12789,Unknown,Netherlands,,2011-05-10,4,91.85,5398,2,1,1,211,1.3333333333333333,At Risk
12791,Unknown,Netherlands,,2010-01-12,2,192.6,5881,1,1,1,111,1.0,At Risk
12793,Unknown,Portugal,,2011-09-01,24,545.48,5284,3,3,3,333,3.0,Recent Customers
12794,Unknown,Portugal,,2011-02-09,20,317.0,5488,1,2,2,122,1.6666666666666667,About to Sleep
12797,Unknown,Portugal,,2010-09-12,13,254.03,5638,1,2,2,122,1.6666666666666667,About to Sleep
12802,Unknown,Netherlands,,2011-06-06,25,427.58,5371,2,3,3,233,2.6666666666666665,Promising
12808,Unknown,Portugal,,2011-08-06,28,483.65,5310,3,3,3,333,3.0,Recent Customers
12816,Unknown,Poland,,2011-05-09,14,253.55,5399,2,2,2,222,2.0,Need Attention
12817,Unknown,Austria,,2011-03-03,4,166.04,5466,1,1,1,111,1.0,At Risk
12820,Unknown,United Kingdom,,2011-06-12,12,210.35,5365,2,2,2,222,2.0,Need Attention
12821,Unknown,United Kingdom,,2011-09-05,6,92.72,5280,3,1,1,311,1.6666666666666667,About to Sleep
12823,Unknown,United Kingdom,,2011-04-08,1,229.5,5430,2,1,2,212,1.6666666666666667,About to Sleep
12824,Unknown,United Kingdom,,2011-11-10,25,397.12,5214,5,3,3,533,3.6666666666666665,Potential Loyalists
12826,Unknown,United Kingdom,,2011-10-11,31,577.1,5244,4,3,3,433,3.3333333333333335,Recent Customers
12827,Unknown,United Kingdom,,2011-07-11,10,212.4,5336,3,1,2,312,2.0,Need Attention
12828,Unknown,United Kingdom,,2011-07-12,47,907.51,5335,3,4,4,344,3.6666666666666665,Potential Loyalists
12829,Unknown,United Kingdom,,2011-07-01,6,207.25,5346,2,1,2,212,1.6666666666666667,About to Sleep
12830,Unknown,United Kingdom,,2011-09-09,14,2258.56,5276,4,2,5,425,3.6666666666666665,Potential Loyalists
12832,Unknown,United Kingdom,,2011-07-11,27,383.03,5336,3,3,3,333,3.0,Recent Customers
12834,Unknown,United Kingdom,,2011-02-03,18,312.38,5494,1,2,2,122,1.6666666666666667,About to Sleep
12836,Unknown,United Kingdom,,2011-11-10,148,2146.63,5214,5,5,5,555,5.0,Champions
12838,Unknown,United Kingdom,,2011-06-11,117,648.23,5366,2,5,4,254,3.6666666666666665,Potential Loyalists
12839,Unknown,United Kingdom,,2011-09-06,117,2203.66,5279,3,5,5,355,4.333333333333333,Loyal Customers
12840,Unknown,United Kingdom,,2011-10-06,40,1296.7,5249,4,4,5,445,4.333333333333333,Loyal Customers
12841,Unknown,United Kingdom,,2011-12-06,223,2149.81,5188,5,5,5,555,5.0,Champions
12842,Unknown,United Kingdom,,2011-04-02,14,310.73,5436,1,2,2,122,1.6666666666666667,About to Sleep
12843,Unknown,United Kingdom,,2011-10-05,77,1254.47,5250,4,5,4,454,4.333333333333333,Loyal Customers
12844,Unknown,United Kingdom,,2011-10-11,50,317.41,5244,4,4,2,442,3.3333333333333335,Recent Customers
12849,Unknown,United Kingdom,,2011-08-11,14,341.44,5305,3,2,2,322,2.3333333333333335,Need Attention
12851,Unknown,United Kingdom,,2011-04-09,43,126.16,5429,2,4,1,241,2.3333333333333335,Need Attention
12854,Unknown,United Kingdom,,2011-12-04,41,415.52,5190,5,4,3,543,4.0,Loyal Customers
12855,Unknown,United Kingdom,,2010-02-12,3,38.1,5850,1,1,1,111,1.0,At Risk
12856,Unknown,United Kingdom,,2011-11-11,155,845.31,5213,5,5,4,554,4.666666666666667,Champions
12857,Unknown,United Kingdom,,2011-10-02,34,801.6,5253,4,3,4,434,3.6666666666666665,Potential Loyalists
12865,Unknown,Austria,,2011-08-08,58,981.38,5308,3,4,4,344,3.6666666666666665,Potential Loyalists
12866,Unknown,Belgium,,2011-01-03,26,559.12,5525,1,3,3,133,2.3333333333333335,Need Attention
12867,Unknown,United Kingdom,,2011-09-05,159,1122.81,5280,3,5,4,354,4.0,Loyal Customers
12868,Unknown,United Kingdom,,2011-12-01,77,1176.34,5193,5,5,4,554,4.666666666666667,Champions
12872,Unknown,United Kingdom,,2010-09-12,38,378.53,5638,1,3,3,133,2.3333333333333335,Need Attention
